Year,Month,Antigen,Details,THARAKA DIST HOSP,NKODI DISP,KANYURU DISP,GATUNGA MISSION,KIBUNGA H/C,RUUNGU EAPC DISP,KATHANGACINI DISP,MUKOTHIMA H/C,THANANTU CLINIC,GACIONGO DISP,CHIAKARIGA H/C ,ST. ORSOLA HOSP,MATERI GIRLS ,KAMANYAKI DISP,TUNYAI DISP
2007,Feb,DPT/Hep/B/Hib 3,under 1 year,43,33,19,60,,,12,54,4,,12,66,18,14,12
2007,Feb,DPT/Hep/B/Hib 3,above 1year,0,1,0,0,,,0,1,0,,0,0,0,1,1
2007,Feb,OPV (Birth dose),under 1 year,60,2,24,7,,,0,16,30,,5,11,4,4,10
2007,Feb,OPV1,under 1 year,48,20,16,43,,,28,72,3,,12,47,12,3,12
2007,Feb,OPV1,above 1year,3,1,0,0,,,0,0,0,,0,0,0,0,0
2007,Feb,OPV2,under 1 year,33,28,24,36,,,16,93,6,,15,68,12,9,11
2007,Feb,OPV2,above 1year,0,0,0,0,,,0,0,0,,0,2,0,0,0
2007,Feb,OPV3,under 1 year,43,33,19,60,,,8,47,4,,12,61,18,14,12
2007,Feb,OPV3,above 1year,0,1,0,0,,,0,0,0,,0,1,0,1,1
2007,Feb,MEASLES,under 1 year,55,3,20,49,,,10,39,17,,5,92,11,2,11
2007,Feb,MEASLES,above 1year,0,9,1,0,,,0,1,0,,0,8,0,3,0
2007,Feb,Yellow Fever,under 1 year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Feb,Yellow Fever,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Feb,Fully Immunized child (FIC),under 1 year,54,3,20,49,,,8,39,17,,5,97,7,2,9
2007,Feb,Fully Immunized child (FIC),above 1year,0,9,3,0,,,0,1,0,,0,3,0,3,0
2007,Feb,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,44,20,10,72,,,5,19,9,,15,0,2,2,10
2007,Feb,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,45,16,2,18,,,2,49,0,,7,0,0,2,5
2007,Feb,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,3,0,12,0,,,0,33,0,,4,0,0,1,3
2007,Feb,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,,0,0,0,,,0,,0,,,0,,,0
2007,Feb,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,,,,,,,,,,,,0,,,0
2007,Feb,VITAMIN A,"under 1 year(100,000 iu)",12,5,0,0,,,4,0,0,,0,0,0,4,0
2007,Feb,VITAMIN A,"above 1year(200,000 iu)",3,0,0,0,,,0,0,0,,0,0,0,9,0
2007,Feb,VITAMIN A,"lactating mothers(200,000 iu)",64,0,0,0,,,0,0,0,,0,0,0,5,0
2007,Mar,BCG,under 1 year,41,20,10,33,,,,77,0,,8,97,4,0,3
2007,Mar,BCG,above 1year,0,0,0,0,,,31,0,0,,0,0,0,0,0
2007,Mar,DPT/Hep/B/Hib 1,under 1 year,35,29,23,45,,,0,84,10,,7,41,9,9,6
2007,Mar,DPT/Hep/B/Hib 1,above 1year,0,0,0,0,,,23,1,0,,0,0,0,0,0
2007,Mar,DPT/Hep/B/Hib 2,under 1 year,47,24,17,41,,,0,89,5,,7,62,8,4,13
2007,Mar,DPT/Hep/B/Hib 2,above 1year,1,0,0,0,,,22,0,0,,0,0,0,0,0
2007,Mar,DPT/Hep/B/Hib 3,under 1 year,32,23,23,40,,,0,74,3,,7,76,19,5,7
2007,Mar,DPT/Hep/B/Hib 3,above 1year,0,0,0,0,,,12,0,0,,0,0,0,0,0
2007,Mar,OPV (Birth dose),under 1 year,84,11,10,8,,,15,23,0,,9,77,3,1,2
2007,Mar,OPV1,under 1 year,47,29,23,45,,,0,69,10,,7,37,9,9,6
2007,Mar,OPV1,above 1year,0,0,0,0,,,16,0,0,,0,0,0,0,0
2007,Mar,OPV2,under 1 year,45,24,17,41,,,0,81,5,,7,56,8,4,13
2007,Mar,OPV2,above 1year,1,0,0,0,,,22,0,0,,0,0,0,0,0
2007,Mar,OPV3,under 1 year,33,23,23,40,,,0,62,3,,7,76,19,5,7
2007,Mar,OPV3,above 1year,0,0,0,0,,,19,71,0,,0,0,0,0,0
2007,Mar,MEASLES,under 1 year,30,32,29,54,,,0,4,13,,3,113,10,0,15
2007,Mar,MEASLES,above 1year,2,8,0,0,,,0,0,0,,0,3,0,0,0
2007,Mar,Yellow Fever,under 1 year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Mar,Yellow Fever,above 1year,0,0,0,0,,,19,71,0,,0,0,0,0,0
2007,Mar,Fully Immunized child (FIC),under 1 year,29,32,29,54,,,0,4,13,,3,113,10,0,15
2007,Mar,Fully Immunized child (FIC),above 1year,2,8,0,0,,,24,27,0,,0,3,0,0,2
2007,Mar,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,76,24,5,43,,,11,38,3,,13,20,10,0,12
2007,Mar,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,65,21,5,34,,,5,27,2,,8,13,4,0,9
2007,Mar,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,15,,,,,,0,13,0,,6,16,0,0,7
2007,Mar,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,79,,,,,,2,,15,,34,3,0,0,15
2007,Mar,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,1,,,,,,0,,,,,5,4,0,
2007,Mar,VITAMIN A,"under 1 year(100,000 iu)",14,13,,,,,0,0,,,0,,,1,
2007,Mar,VITAMIN A,"above 1year(200,000 iu)",3,3,,,,,0,0,,,0,,,0,
2007,Mar,VITAMIN A,"lactating mothers(200,000 iu)",78,5,,,,,0,0,,,0,,,1,
2007,Apr,BCG,under 1 year,102,2,0,24,12,,5,76,33,,0,102,4,2,15
2007,Apr,BCG,above 1year,1,0,0,0,0,,0,1,0,,0,0,0,0,0
2007,Apr,DPT/Hep/B/Hib 1,under 1 year,56,30,13,29,16,,7,51,7,,10,50,10,5,9
2007,Apr,DPT/Hep/B/Hib 1,above 1year,0,0,0,0,0,,0,1,0,,0,0,0,0,0
2007,Apr,DPT/Hep/B/Hib 2,under 1 year,34,28,22,44,9,,4,52,8,,7,51,14,9,14
2007,Apr,DPT/Hep/B/Hib 2,above 1year,0,0,0,0,0,,0,4,0,,0,0,0,0,0
2007,Apr,DPT/Hep/B/Hib 3,under 1 year,45,20,8,34,12,,16,61,2,,7,62,8,7,9
2007,Apr,DPT/Hep/B/Hib 3,above 1year,1,2,0,0,0,,0,5,0,,0,0,0,0,2
2007,Apr,OPV (Birth dose),under 1 year,79,2,0,5,0,,6,17,33,,4,93,1,0,0
2007,Apr,OPV1,under 1 year,56,30,13,29,16,,7,51,7,,10,33,10,5,9
2007,Apr,OPV1,above 1year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Apr,OPV2,under 1 year,33,28,22,44,9,,4,52,8,,7,49,14,9,14
2007,Apr,OPV2,above 1year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Apr,OPV3,under 1 year,44,20,8,34,12,,17,56,2,,7,62,8,7,9
2007,Apr,OPV3,above 1year,2,0,0,0,0,,0,1,0,,0,0,0,0,0
2007,Apr,MEASLES,under 1 year,39,24,27,38,8,,9,56,8,,0,92,7,0,2
2007,Apr,MEASLES,above 1year,3,0,0,0,1,,0,1,0,,0,0,0,0,0
2007,Apr,Yellow Fever,under 1 year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Apr,Yellow Fever,above 1year,0,0,0,0,0,,0,0,8,,0,92,0,0,0
2007,Apr,Fully Immunized child (FIC),under 1 year,37,24,27,38,8,,8,56,0,,0,0,7,0,2
2007,Apr,Fully Immunized child (FIC),above 1year,3,0,0,0,1,,0,1,3,,0,6,0,1,0
2007,Apr,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,54,12,10,53,2,,2,37,0,,20,11,3,0,7
2007,Apr,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,34,13,14,41,10,,10,19,0,,5,9,3,3,7
2007,Apr,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,7,0,3,0,,,6,26,,,2,,0,,2
2007,Apr,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,,,,,,,,,,,17,,,,
2007,Apr,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,,,,,,,,,,,0,,,,
2007,Apr,VITAMIN A,"under 1 year(100,000 iu)",4,9,0,0,1,,0,0,0,,3,0,1,0,0
2007,Apr,VITAMIN A,"above 1year(200,000 iu)",4,5,0,0,0,,0,0,0,,,0,0,0,0
2007,Apr,VITAMIN A,"lactating mothers(200,000 iu)",92,16,0,0,0,,0,0,0,,,0,0,0,0
2007,May,BCG,under 1 year,92,32,17,33,,,24,36,7,,8,68,13,5,23
2007,May,BCG,above 1year,1,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,DPT/Hep/B/Hib 1,under 1 year,54,33,16,48,,,22,60,9,,70,79,10,7,14
2007,May,DPT/Hep/B/Hib 1,above 1year,0,0,0,0,,,0,1,0,,0,0,0,0,0
2007,May,DPT/Hep/B/Hib 2,under 1 year,49,29,25,33,,,16,70,8,,17,52,14,7,16
2007,May,DPT/Hep/B/Hib 2,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,DPT/Hep/B/Hib 3,under 1 year,46,32,17,46,,,16,54,7,,9,66,16,10,11
2007,May,DPT/Hep/B/Hib 3,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,OPV (Birth dose),under 1 year,59,13,17,19,,,4,11,2,,7,42,9,2,12
2007,May,OPV1,under 1 year,37,33,16,48,,,16,63,9,,10,80,10,7,11
2007,May,OPV1,above 1year,0,0,0,0,,,1,1,0,,0,1,0,0,0
2007,May,OPV2,under 1 year,40,29,25,33,,,13,62,8,,6,52,14,7,16
2007,May,OPV2,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,OPV3,under 1 year,38,32,17,46,,,18,47,6,,9,66,15,10,0
2007,May,OPV3,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,MEASLES,under 1 year,40,35,23,58,,,15,49,7,,1,125,4,2,15
2007,May,MEASLES,above 1year,0,0,1,0,,,0,0,0,,0,0,0,0,0
2007,May,Yellow Fever,under 1 year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,Yellow Fever,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,May,Fully Immunized child (FIC),under 1 year,39,35,23,58,,,9,49,4,,1,125,4,2,15
2007,May,Fully Immunized child (FIC),above 1year,0,0,1,0,,,0,0,1,,0,0,0,0,0
2007,May,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,54,39,7,62,,,18,27,0,,21,0,9,4,7
2007,May,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,37,12,5,22,,,1,16,0,,9,0,0,2,2
2007,May,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,4,0,0,0,,,5,25,5,,1,125,0,2,2
2007,May,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,64,0,0,0,,,4,0,2,,35,0,14,10,33
2007,May,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,0,0,0,0,,,4,0,0,,0,32,0,0,0
2007,May,VITAMIN A,"under 1 year(100,000 iu)",45,29,0,0,,,0,0,3,,0,8,0,9,0
2007,May,VITAMIN A,"above 1year(200,000 iu)",8,12,0,0,,,0,0,1,,0,14,0,1,0
2007,May,VITAMIN A,"lactating mothers(200,000 iu)",90,17,0,0,,,0,0,0,,0,12,0,5,0
2007,Jun,BCG,under 1 year,75,16,21,39,31,,39,45,,5,7,110,8,4,10
2007,Jun,BCG,above 1year,0,0,0,0,1,,0,0,,0,0,1,0,0,0
2007,Jun,DPT/Hep/B/Hib 1,under 1 year,45,26,13,50,37,,34,66,,10,12,62,13,3,14
2007,Jun,DPT/Hep/B/Hib 1,above 1year,0,0,0,0,1,,0,0,,1,0,0,0,0,0
2007,Jun,DPT/Hep/B/Hib 2,under 1 year,51,22,9,48,39,,29,60,,10,1,89,14,6,14
2007,Jun,DPT/Hep/B/Hib 2,above 1year,0,0,0,0,0,,0,0,,0,0,0,0,0,0
2007,Jun,DPT/Hep/B/Hib 3,under 1 year,41,21,19,33,21,,17,52,,6,7,66,14,6,15
2007,Jun,DPT/Hep/B/Hib 3,above 1year,0,0,0,0,0,,0,0,,1,0,0,0,0,0
2007,Jun,OPV (Birth dose),under 1 year,67,10,21,21,13,,5,20,,0,0,99,1,2,7
2007,Jun,OPV1,under 1 year,41,26,13,50,39,,34,28,,10,12,62,13,3,17
2007,Jun,OPV1,above 1year,0,0,0,0,0,,0,0,,1,0,0,0,0,0
2007,Jun,OPV2,under 1 year,51,27,9,48,34,,29,46,,10,1,89,14,6,14
2007,Jun,OPV2,above 1year,0,0,0,0,0,,0,0,,0,0,0,0,0,0
2007,Jun,OPV3,under 1 year,39,21,19,33,21,,17,35,,6,7,64,14,6,15
2007,Jun,OPV3,above 1year,0,0,0,0,0,,0,0,,1,0,0,0,0,0
2007,Jun,MEASLES,under 1 year,36,16,26,42,31,,26,65,,1,2,125,5,5,14
2007,Jun,MEASLES,above 1year,2,0,0,0,14,,0,0,,8,0,0,0,1,8
2007,Jun,Yellow Fever,under 1 year,0,0,0,0,0,,0,0,,0,0,0,0,0,0
2007,Jun,Yellow Fever,above 1year,0,0,0,0,0,,0,0,,0,0,0,0,0,0
2007,Jun,Fully Immunized child (FIC),under 1 year,35,16,26,42,31,,26,65,,1,2,125,5,5,8
2007,Jun,Fully Immunized child (FIC),above 1year,0,0,0,0,14,,0,0,,8,0,0,0,1,4
2007,Jun,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,41,20,7,40,4,,9,17,,10,6,36,3,1,16
2007,Jun,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,51,14,1,30,13,,8,7,,5,12,13,5,5,4
2007,Jun,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,7,0,4,0,3,,12,14,,0,3,21,0,6,10
2007,Jun,VITAMIN A,"under 1 year(100,000 iu)",,,,,,,,,,,,,,,
2007,Jun,VITAMIN A,"above 1year(200,000 iu)",,,,,,,,,,,,,,,
2007,Jun,VITAMIN A,"lactating mothers(200,000 iu)",71,9,0,0,0,,0,0,,0,0,0,0,3,0
2007,Jul,BCG,under 1 year,105,13,33,40,25,,32,71,13,,10,93,4,8,5
2007,Jul,BCG,above 1year,0,3,0,0,0,,1,0,0,,0,0,0,0,1
2007,Jul,DPT/Hep/B/Hib 1,under 1 year,35,22,30,47,25,,35,77,12,,8,58,12,5,12
2007,Jul,DPT/Hep/B/Hib 1,above 1year,0,2,18,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,DPT/Hep/B/Hib 2,under 1 year,39,27,0,48,22,,43,68,5,,6,67,12,4,16
2007,Jul,DPT/Hep/B/Hib 2,above 1year,0,0,16,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,DPT/Hep/B/Hib 3,under 1 year,43,32,0,45,25,,22,70,9,,6,90,11,5,11
2007,Jul,DPT/Hep/B/Hib 3,above 1year,0,0,33,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,OPV (Birth dose),under 1 year,102,8,30,9,11,,10,9,8,,5,89,0,3,3
2007,Jul,OPV1,under 1 year,36,22,0,47,0,,35,72,12,,8,58,12,5,12
2007,Jul,OPV1,above 1year,0,2,18,0,0,,0,3,0,,0,0,0,0,0
2007,Jul,OPV2,under 1 year,40,27,0,48,13,,43,66,5,,6,67,12,4,15
2007,Jul,OPV2,above 1year,0,0,16,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,OPV3,under 1 year,43,32,0,45,26,,15,69,9,,6,90,11,5,10
2007,Jul,OPV3,above 1year,0,0,27,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,MEASLES,under 1 year,23,18,0,41,26,,25,71,21,,0,131,17,0,10
2007,Jul,MEASLES,above 1year,1,0,0,0,7,,0,0,0,,0,0,0,0,0
2007,Jul,Yellow Fever,under 1 year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,Yellow Fever,above 1year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Jul,Fully Immunized child (FIC),under 1 year,22,18,27,41,26,,0,76,21,,0,131,17,0,13
2007,Jul,Fully Immunized child (FIC),above 1year,1,0,4,0,26,,0,0,0,,0,0,0,0,0
2007,Jul,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,61,10,0,53,7,,16,36,4,,15,45,3,3,4
2007,Jul,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,58,10,6,47,16,,7,30,0,,9,10,1,1,3
2007,Jul,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,0,0,0,0,7,,10,11,0,,3,9,0,0,6
2007,Jul,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,97,0,0,0,0,,0,6,11,,49,10,4,0,21
2007,Jul,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,0,0,0,0,0,,0,9,0,,4,0,0,0,0
2007,Jul,VITAMIN A,"under 1 year(100,000 iu)",32,29,0,0,0,,0,0,0,,0,8,0,5,6
2007,Jul,VITAMIN A,"above 1year(200,000 iu)",4,17,0,0,0,,0,0,0,,0,0,3,0,3
2007,Jul,VITAMIN A,"lactating mothers(200,000 iu)",104,5,0,0,0,,0,0,,,0,0,0,3,1
2007,Aug,BCG,under 1 year,102,15,7,29,9,,16,72,3,,8,79,9,6,13
2007,Aug,BCG,above 1year,0,6,0,0,0,,0,0,0,,0,0,0,0,1
2007,Aug,DPT/Hep/B/Hib 1,under 1 year,57,18,12,45,19,,14,85,8,,7,57,7,8,5
2007,Aug,DPT/Hep/B/Hib 1,above 1year,0,4,1,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,DPT/Hep/B/Hib 2,under 1 year,37,28,7,58,8,,30,80,18,,5,70,17,6,10
2007,Aug,DPT/Hep/B/Hib 2,above 1year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,DPT/Hep/B/Hib 3,under 1 year,39,24,4,51,11,,22,72,10,,4,84,13,3,8
2007,Aug,DPT/Hep/B/Hib 3,above 1year,0,0,1,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,OPV (Birth dose),under 1 year,76,6,4,5,3,,0,0,0,,6,51,4,2,7
2007,Aug,OPV1,under 1 year,38,17,13,13,4,,0,0,8,,7,29,7,8,5
2007,Aug,OPV1,above 1year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,OPV2,under 1 year,26,28,7,24,2,,12,0,18,,5,32,17,6,8
2007,Aug,OPV2,above 1year,0,24,0,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,OPV3,under 1 year,36,0,4,21,2,,8,0,10,,4,34,13,3,8
2007,Aug,OPV3,above 1year,0,32,1,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,MEASLES,under 1 year,38,1,8,49,15,,7,0,13,,1,151,7,2,10
2007,Aug,MEASLES,above 1year,3,0,1,0,4,,0,0,0,,0,0,0,0,0
2007,Aug,Yellow Fever,under 1 year,0,0,0,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,Yellow Fever,above 1year,0,32,0,0,0,,0,0,0,,0,0,0,0,0
2007,Aug,Fully Immunized child (FIC),under 1 year,37,1,8,49,15,,7,49,13,,1,136,7,0,10
2007,Aug,Fully Immunized child (FIC),above 1year,3,11,1,0,4,,0,0,0,,0,0,0,2,0
2007,Aug,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,76,0,0,40,0,,0,28,2,,5,33,1,0,8
2007,Aug,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,111,0,22,51,0,,0,15,0,,2,25,0,0,2
2007,Aug,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,2,0,0,0,0,,51,9,0,,0,11,12,1,6
2007,Aug,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,128,0,0,0,0,,0,16,0,,26,7,0,6,7
2007,Aug,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,0,0,0,0,0,,0,14,13,,,6,0,0,0
2007,Aug,VITAMIN A,"under 1 year(100,000 iu)",37,18,0,0,0,,0,0,12,,0,0,0,7,1
2007,Aug,VITAMIN A,"above 1year(200,000 iu)",8,24,0,0,0,,0,0,1,,0,0,0,5,0
2007,Aug,VITAMIN A,"lactating mothers(200,000 iu)",105,18,0,0,0,,0,0,0,,0,0,0,7,1
2007,Sep,BCG,under 1 year,68,16,15,36,,,27,60,0,,6,112,15,4,16
2007,Sep,BCG,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,2
2007,Sep,DPT/Hep/B/Hib 1,under 1 year,35,18,13,52,,,16,79,8,,14,58,13,5,24
2007,Sep,DPT/Hep/B/Hib 1,above 1year,1,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,DPT/Hep/B/Hib 2,under 1 year,40,14,7,62,,,15,80,8,,11,64,8,11,17
2007,Sep,DPT/Hep/B/Hib 2,above 1year,3,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,DPT/Hep/B/Hib 3,under 1 year,30,23,13,42,,,14,68,10,,8,68,10,5,11
2007,Sep,DPT/Hep/B/Hib 3,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,OPV (Birth dose),under 1 year,69,2,3,9,,,16,29,0,,5,112,13,3,16
2007,Sep,OPV1,under 1 year,37,18,9,70,,,6,63,8,,14,59,13,5,24
2007,Sep,OPV1,above 1year,1,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,OPV2,under 1 year,37,14,7,52,,,16,67,8,,11,66,8,11,17
2007,Sep,OPV2,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,OPV3,under 1 year,31,23,16,36,,,17,38,10,,8,69,10,5,10
2007,Sep,OPV3,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,MEASLES,under 1 year,16,22,10,30,,,15,32,2,,3,88,5,11,10
2007,Sep,MEASLES,above 1year,0,0,0,0,,,0,1,2,,0,0,0,0,0
2007,Sep,Yellow Fever,under 1 year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,Yellow Fever,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Sep,Fully Immunized child (FIC),under 1 year,16,22,10,30,,,9,35,2,,3,88,5,1,10
2007,Sep,Fully Immunized child (FIC),above 1year,0,0,0,0,,,3,1,2,,0,0,0,0,0
2007,Sep,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,33,12,0,41,,,1,14,3,,10,42,2,2,6
2007,Sep,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,58,15,0,27,,,20,12,0,,5,9,0,1,3
2007,Sep,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,0,0,0,0,,,23,8,0,,8,14,0,4,1
2007,Sep,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,94,0,0,0,,,0,7,0,,37,6,0,0,34
2007,Sep,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,0,0,0,0,,,0,1,10,,0,7,7,0,0
2007,Sep,VITAMIN A,"under 1 year(100,000 iu)",22,7,15,0,,,0,0,3,,0,,0,5,11
2007,Sep,VITAMIN A,"above 1year(200,000 iu)",22,17,10,0,,,0,0,2,,0,,0,13,12
2007,Sep,VITAMIN A,"lactating mothers(200,000 iu)",64,9,0,0,,,,,0,,6,,0,4,15
