Year,Month,Antigen,Doses,THARAKA DIST HOSP,NKODI DISP,KANYURU DISP,GATUNGA MISSION,KIBUNGA H/C,RUUNGU EAPC DISP,KATHANGACINI DISP,MUKOTHIMA H/C,THANANTU CLINIC,GACIONGO DISP,CHIAKARIGA H/C ,ST. ORSOLA HOSP,MATERI GIRLS ,KAMANYAKI DISP,TUNYAI DISP,
2007,Mar,TT,e)Doses used in the mont=C-D,240,120,40,180,0,40,0,110,20,0,80,100,16,5,40,
2007,Mar,TT,f)Number of children vaccinated during the month,226,45,10,77,,14,0,105,20,,61,67,16,5,43,
2007,Mar,TT,g)Doses wasted in the month=E-F,14,75,30,103,0,26,0,5,0,0,19,33,0,0,-3,
2007,Mar,TT,h)wastage rate in the month=[G/E]x100,5.833333333,62.5,75,57.22222222,#DIV/0!,65,#DIV/0!,4.545454545,0,#DIV/0!,23.75,33,0,0,-7.5,
2007,Apr,BCG,a)Doses in stock at the beginning of the month,200,80,0,240,20,,0,140,80,,0,340,380,0,200,
2007,Apr,BCG,b)Doses received within the month,320,100,0,200,80,,100,400,0,,0,100,0,100,60,
2007,Apr,BCG,c) Total doses stocked in the month=A+B,520,180,0,440,100,0,100,540,80,0,0,440,380,100,260,
2007,Apr,BCG,d)Doses remaining at the end of the month,60,160,0,300,40,,80,400,20,,0,160,340,60,140,
2007,Apr,BCG,e)Doses used in the month=C-D,460,20,0,120,60,0,20,140,60,0,0,280,40,40,120,
2007,Apr,BCG,f)Number of children vaccinated during the month,103,2,0,24,12,,5,77,33,,0,111,4,2,60,
2007,Apr,BCG,g)Doses wasted in the month=E-F,357,18,0,96,48,0,15,63,27,0,0,169,36,38,60,
2007,Apr,BCG,h)wastage rate in the month=[G/E]x100,77.60869565,90,0,80,80,#DIV/0!,75,45,45,#DIV/0!,#DIV/0!,60.35714286,90,95,50,
2007,Apr,OPV,a)Doses in stock at the beginning of the month,260,120,20,140,100,,20,340,60,,60,60,318,41,0,
2007,Apr,OPV,b)Doses received within the month,100,80,60,200,60,,100,100,0,,0,400,0,100,180,
2007,Apr,OPV,c) Total doses stocked in the month=A+B,360,200,80,340,160,0,120,440,60,0,60,460,318,141,180,
2007,Apr,OPV,d)Doses remaining at the end of the month,140,80,20,200,80,,80,246,40,,20,120,285,120,40,
2007,Apr,OPV,e)Doses used in the mont=C-D,220,120,60,140,80,0,40,194,20,0,40,340,33,21,140,
2007,Apr,OPV,f)Number of children vaccinated during the month,135,80,43,112,37,,34,182,17,,28,279,33,21,34,
2007,Apr,OPV,g)Doses wasted in the month=E-F,85,40,17,28,43,0,6,12,3,0,12,61,0,0,106,
2007,Apr,OPV,h)wastage rate in the month=[G/E]x100,38.63636364,33.33333333,28.33333333,20,53.75,#DIV/0!,15,6.18556701,15,#DIV/0!,30,17.94117647,0,0,75.71428571,
2007,Apr,MEASLES,a)Doses in stock at the beginning of the month,110,200,20,100,50,,280,120,40,,110,180,470,0,0,
2007,Apr,MEASLES,b)Doses received within the month,100,0,100,100,30,,100,0,0,,0,200,0,100,80,
2007,Apr,MEASLES,c) Total doses stocked in the month=A+B,210,200,120,200,80,0,380,120,40,0,110,380,470,100,80,
2007,Apr,MEASLES,d)Doses remaining at the end of the month,60,160,80,140,40,,350,40,20,,110,190,450,100,70,
2007,Apr,MEASLES,e)Doses used in the mont=C-D,150,40,40,60,40,0,30,80,20,0,0,190,20,0,10,
2007,Apr,MEASLES,f)Number of children vaccinated during the month,42,24,27,38,9,,9,56,18,,0,110,7,0,2,
2007,Apr,MEASLES,g)Doses wasted in the month=E-F,108,16,13,22,31,0,21,24,2,0,0,80,13,0,8,
2007,Apr,MEASLES,h)wastage rate in the month=[G/E]x100,72,40,32,36.66666667,77.5,#DIV/0!,70,30,10,#DIV/0!,#DIV/0!,42.10526316,65,0,80,
2007,Apr,DPT/HIB/HEP B,a)Doses in stock at the beginning of the month,234,204,20,210,26,,170,182,0,,470,400,265,28,60,
2007,Apr,DPT/HIB/HEP B,b)Doses received within the month,0,0,50,200,28,,200,400,100,,0,400,0,100,60,
2007,Apr,DPT/HIB/HEP B,c) Total doses stocked in the month=A+B,234,204,70,410,54,0,370,582,100,0,470,800,265,128,120,
2007,Apr,DPT/HIB/HEP B,d)Doses remaining at the end of the month,82,138,36,286,12,,340,388,80,,432,600,198,107,80,
2007,Apr,DPT/HIB/HEP B,e)Doses used in the mont=C-D,152,66,46,124,42,0,30,194,20,0,38,200,67,21,40,
2007,Apr,DPT/HIB/HEP B,f)Number of children vaccinated during the month,136,66,43,107,37,,27,174,17,,24,197,32,21,32,
2007,Apr,DPT/HIB/HEP B,g)Doses wasted in the month=E-F,16,0,3,17,5,0,3,20,3,0,14,3,35,0,8,
2007,Apr,DPT/HIB/HEP B,h)wastage rate in the month=[G/E]x100,10.52631579,0,6.52173913,13.70967742,11.9047619,#DIV/0!,10,10.30927835,15,#DIV/0!,36.84210526,1.5,52.23880597,0,20,
2007,Apr,TT,a)Doses in stock at the beginning of the month,440,180,20,160,80,,140,380,40,,140,40,142,95,220,
2007,Apr,TT,b)Doses received within the month,0,0,100,200,40,,100,240,0,,0,200,0,100,40,
2007,Apr,TT,c) Total doses stocked in the month=A+B,440,180,120,360,120,0,240,620,40,0,140,240,142,195,260,
2007,Apr,TT,d)Doses remaining at the end of the month,240,120,80,260,100,,200,520,20,,120,160,129,191,200,
2007,Apr,TT,e)Doses used in the mont=C-D,200,60,40,100,20,0,40,100,20,0,20,80,17,4,60,
2007,Apr,TT,f)Number of children vaccinated during the month,176,25,27,94,3,,24,80,20,,4,61,17,4,24,
2007,Apr,TT,g)Doses wasted in the month=E-F,24,35,13,6,17,0,16,20,0,0,16,19,0,0,36,
2007,Apr,TT,h)wastage rate in the month=[G/E]x100,12,58.33333333,32.5,6,85,#DIV/0!,40,20,0,#DIV/0!,80,23.75,0,0,60,
2007,May,BCG,a)Doses in stock at the beginning of the month,80,160,0,320,,,80,400,110,,0,160,340,60,580,
2007,May,BCG,b)Doses received within the month,300,0,40,400,,,100,0,100,,200,100,0,0,360,
2007,May,BCG,c) Total doses stocked in the month=A+B,380,160,40,720,0,0,180,400,210,0,200,260,340,60,940,
2007,May,BCG,d)Doses remaining at the end of the month,20,60,20,240,,,80,300,80,,100,0,280,20,420,
2007,May,BCG,e)Doses used in the month=C-D,360,100,20,480,0,0,100,100,130,0,100,260,60,40,520,
2007,May,BCG,f)Number of children vaccinated during the month,97,32,17,33,,,24,36,7,,8,87,13,5,136,
2007,May,BCG,g)Doses wasted in the month=E-F,263,68,3,447,0,0,76,64,123,0,92,173,47,35,384,
2007,May,BCG,h)wastage rate in the month=[G/E]x100,73.05555556,68,15,93.125,#DIV/0!,#DIV/0!,76,64,94.61538462,#DIV/0!,92,66.53846154,78.33333333,87.5,73.84615385,
2007,May,OPV,a)Doses in stock at the beginning of the month,140,80,20,200,,,80,166,40,,40,120,285,120,585,
2007,May,OPV,b)Doses received within the month,100,100,0,60,,,0,100,100,,0,200,0,0,260,
2007,May,OPV,c) Total doses stocked in the month=A+B,240,180,20,260,0,0,80,266,140,0,40,320,285,120,845,
2007,May,OPV,d)Doses remaining at the end of the month,40,40,0,80,,,0,60,116,,0,0,237,80,317,
2007,May,OPV,e)Doses used in the mont=C-D,200,140,20,180,0,0,80,206,24,0,40,320,48,40,528,
2007,May,OPV,f)Number of children vaccinated during the month,174,107,17,146,,,52,193,23,,32,294,48,26,456,
2007,May,OPV,g)Doses wasted in the month=E-F,26,33,3,34,0,0,28,13,1,0,8,26,0,14,72,
2007,May,OPV,h)wastage rate in the month=[G/E]x100,13,23.57142857,15,18.88888889,#DIV/0!,#DIV/0!,35,6.310679612,4.166666667,#DIV/0!,20,8.125,0,35,13.63636364,
2007,May,MEASLES,a)Doses in stock at the beginning of the month,30,160,40,140,,,460,120,10,,110,190,450,100,910,
2007,May,MEASLES,b)Doses received within the month,140,0,0,100,,,0,0,100,,0,30,0,0,130,
2007,May,MEASLES,c) Total doses stocked in the month=A+B,170,160,40,240,0,0,460,120,110,0,110,220,450,100,1040,
2007,May,MEASLES,d)Doses remaining at the end of the month,10,110,0,130,,,430,70,80,,100,0,420,90,690,
2007,May,MEASLES,e)Doses used in the mont=C-D,160,50,40,110,0,0,30,50,30,0,10,220,30,10,350,
2007,May,MEASLES,f)Number of children vaccinated during the month,40,35,24,58,,,15,49,7,,1,158,4,2,180,
2007,May,MEASLES,g)Doses wasted in the month=E-F,120,15,16,52,0,0,15,1,23,0,9,62,26,8,170,
2007,May,MEASLES,h)wastage rate in the month=[G/E]x100,75,30,40,47.27272727,#DIV/0!,#DIV/0!,50,2,76.66666667,#DIV/0!,90,28.18181818,86.66666667,80,48.57142857,
2007,May,DPT/HIB/HEP B,a)Doses in stock at the beginning of the month,60,138,60,286,,,340,588,90,,432,600,198,133,1413,
2007,May,DPT/HIB/HEP B,b)Doses received within the month,200,60,0,200,,,0,0,0,,0,80,0,0,128,
2007,May,DPT/HIB/HEP B,c) Total doses stocked in the month=A+B,260,198,60,486,0,0,340,588,90,0,432,680,198,133,1541,
2007,May,DPT/HIB/HEP B,d)Doses remaining at the end of the month,124,80,0,340,,,226,430,66,,392,212,158,107,939,
2007,May,DPT/HIB/HEP B,e)Doses used in the mont=C-D,136,118,60,146,0,0,114,158,24,0,40,468,40,26,602,
2007,May,DPT/HIB/HEP B,f)Number of children vaccinated during the month,124,94,58,127,,,54,152,23,,38,235,40,26,380,
2007,May,DPT/HIB/HEP B,g)Doses wasted in the month=E-F,12,24,2,19,0,0,60,6,1,0,2,233,0,0,222,
2007,May,DPT/HIB/HEP B,h)wastage rate in the month=[G/E]x100,8.823529412,20.33898305,3.333333333,13.01369863,#DIV/0!,#DIV/0!,52.63157895,3.797468354,4.166666667,#DIV/0!,5,49.78632479,0,0,36.87707641,
2007,May,TT,a)Doses in stock at the beginning of the month,80,120,60,260,,,200,510,20,,100,160,125,160,725,
2007,May,TT,b)Doses received within the month,400,100,0,100,,,0,0,100,,0,100,0,0,160,
2007,May,TT,c) Total doses stocked in the month=A+B,480,220,60,360,0,0,200,510,120,0,100,260,125,160,885,
2007,May,TT,d)Doses remaining at the end of the month,320,80,40,200,,,120,440,113,,40,180,102,142,664,
2007,May,TT,e)Doses used in the mont=C-D,160,140,20,160,0,0,80,70,7,0,60,80,23,18,221,
2007,May,TT,f)Number of children vaccinated during the month,159,52,12,84,,,32,68,7,,60,71,23,18,5,
2007,May,TT,g)Doses wasted in the month=E-F,1,88,8,76,0,0,48,2,0,0,0,9,0,0,216,
2007,May,TT,h)wastage rate in the month=[G/E]x100,0.625,62.85714286,40,47.5,#DIV/0!,#DIV/0!,60,2.857142857,0,#DIV/0!,0,11.25,0,0,97.73755656,
2007,Jun,BCG,a)Doses in stock at the beginning of the month,20,60,0,240,200,,80,260,,60,100,0,280,20,0,
2007,Jun,BCG,b)Doses received within the month,440,200,100,200,0,,100,0,,100,200,280,0,200,100,
2007,Jun,BCG,c) Total doses stocked in the month=A+B,460,260,100,440,200,0,180,260,,160,300,280,280,220,100,
2007,Jun,BCG,d)Doses remaining at the end of the month,140,180,0,300,120,,20,140,,100,240,60,240,140,80,
2007,Jun,BCG,e)Doses used in the month=C-D,320,80,100,140,80,0,160,120,,60,40,220,40,80,20,
2007,Jun,BCG,f)Number of children vaccinated during the month,75,16,21,39,32,,39,45,,5,5,133,8,4,10,
2007,Jun,BCG,g)Doses wasted in the month=E-F,245,64,79,101,48,0,121,75,,55,35,87,32,76,10,
2007,Jun,BCG,h)wastage rate in the month=[G/E]x100,,80%,79%,72%,70%,,76%,63%,,92%,87%,39%,64%,95%,0%,
2007,Jun,OPV,a)Doses in stock at the beginning of the month,40,40,0,80,200,,0,6,,120,0,0,237,80,0,
2007,Jun,OPV,b)Doses received within the month,400,200,120,200,0,,100,200,,0,200,520,0,0,100,
2007,Jun,OPV,c) Total doses stocked in the month=A+B,440,240,120,280,200,0,100,206,,120,200,520,237,80,100,
2007,Jun,OPV,d)Doses remaining at the end of the month,200,140,40,120,140,,15,0,,90,180,100,195,63,20,
2007,Jun,OPV,e)Doses used in the mont=C-D,240,100,80,160,140,0,85,206,,30,20,420,42,17,80,
2007,Jun,OPV,f)Number of children vaccinated during the month,195,79,62,152,124,,85,129,,28,20,381,42,17,33,
2007,Jun,OPV,g)Doses wasted in the month=E-F,45,21,18,8,16,,0,87,,2,0,39,0,0,47,
2007,Jun,OPV,h)wastage rate in the month=[G/E]x100,18.70%,21%,22%,5%,11.40%,,0%,42%,,6.60%,0,9.20%,0%,0,,
2007,Jun,MEASLES,a)Doses in stock at the beginning of the month,10,110,0,130,100,,430,170,,80,100,0.00%,420,90,40,
2007,Jun,MEASLES,b)Doses received within the month,220,0,100,200,0,,100,0,,0,0,200,0,0,100,
2007,Jun,MEASLES,c) Total doses stocked in the month=A+B,230,110,100,330,100,0,530,170,,80,100,200,420,90,140,
2007,Jun,MEASLES,d)Doses remaining at the end of the month,80,70,50,190,30,,460,40,,50,80,0,400,70,90,
