YEAR,No.,Facility,BCG < 1,BCG > 1,DPT/Hep B/HiB 1 < 1,DPT/Hep B/HiB 1 > 1,DPT/Hep B/HiB 2 < 1,DPT/Hep B/HiB 2 > 1,DPT/Hep B/HiB 3 < 1,DPT/Hep B/HiB 3 > 1,OPV Birth Dose,OPV Birth Dose1,OPV 1 < 1,OPV 1 > 1,OPV 2 <1,OPV 2 >1,OPV 3 <1,OPV 3 >1,Measles < 1,Measles > 1,Yellow Fever < 1,Yellow Fever > 1,Fully Immunized Child (FIC) < 1,Fully Immunized Child (FIC) > 1,TT1,TT2,TT3,TT4,TT5,Vitamin A > 1,Vitamin A > 11,Vitamin A Lactating Mothers
2004,27,Nuru m. cl,18,0,15,0,18,0,8,0,8,8,13,0,16,3,10,2,3,0,0,1,2,0,8,7,1,0,0,0,0,0
2004,28,Pingilikani Disp,166,0,129,0,91,0,127,0,39,39,180,5,152,0,162,2,121,18,0,0,87,16,16,47,45,32,3,93,9,8
2004,32,St. Theresa,5,0,21,0,20,0,18,0,5,5,21,0,20,0,18,0,9,0,0,0,12,2,2,1,0,0,0,7,2,0
2004,33,Sunn'sand m. cl,73,0,66,0,71,0,84,0,25,25,84,0,86,0,104,0,75,0,0,0,75,0,13,17,18,4,2,334,0,0
2004,34,Takaungu Disp,92,0,105,0,118,2,124,0,18,18,104,0,120,2,121,0,92,6,0,0,64,8,38,22,4,0,0,133,77,60
2004,36,Vipingo H/C,470,2,393,6,403,2,375,1,286,286,465,6,398,4,399,9,308,13,1,0,296,28,700,364,38,0,2,399,75,91
2004,37,Vitengeni H/C,384,3,276,0,215,1,226,0,98,98,328,2,320,3,323,3,311,19,0,0,311,23,169,107,48,18,0,259,712,514
2004,38,Total,"6,047",47,"5,499",21,"5,090",33,"4,858",42,"2,508","2,508","5,777",180,"5,732",68,"5,621",79,"4,664",269,1,2,"4,493",276,"3,646","2,552",719,288,221,"4,612","5,088","2,180"
2004,4,Bwagamoyo Dispensary,51,0,62,0,47,0,55,0,30,30,52,4,29,0,35,0,38,0,0,0,34,0,92,20,1,0,0,186,3,8
2004,9,Gotani Disp,191,22,141,10,120,5,63,2,100,100,189,75,129,41,145,27,119,21,0,1,39,27,126,82,54,0,13,12,13,86
2004,11,Jibana H/C,214,19,176,0,201,2,168,3,148,148,246,2,225,1,229,7,172,12,0,0,168,5,204,161,3,1,0,0,0,0
2004,15,Kombeni Disp,98,0,101,0,120,1,82,2,72,72,94,30,109,2,116,1,97,16,0,0,97,16,45,35,32,13,0,62,44,43
2004,16,Lenga Disp,78,0,83,0,93,0,62,3,74,74,91,6,79,0,75,0,95,2,0,0,100,1,9,15,27,45,179,162,367,65
2004,17,Maamba m. cl,73,1,62,0,65,0,49,3,33,33,82,0,72,0,83,3,84,4,0,0,82,4,9,7,3,2,1,30,11,0
2004,18,Makanzani,152,0,192,1,182,0,196,0,36,36,153,0,171,0,166,0,169,0,0,0,169,13,212,39,2,5,0,343,133,354
2004,19,Mariakani S.D. Hospital,822,7,694,3,723,4,697,3,394,394,870,4,825,2,843,3,530,7,0,0,530,7,588,393,10,2,10,106,21,0
2004,21,Mgamboni Disp,47,14,51,0,46,0,34,1,37,37,65,5,55,0,53,0,77,15,0,0,60,15,32,15,8,2,0,235,276,75
2004,25,Neema M. Cl,26,0,19,0,11,0,9,0,7,7,26,0,10,0,15,0,25,0,0,0,9,0,18,6,1,0,0,29,1,7
2004,29,Rabai H/C,570,1,534,6,486,3,341,1,399,399,463,79,586,1,566,4,440,12,0,0,429,12,590,287,17,1,0,270,10,223
2004,30,Ribe,29,1,49,0,42,1,47,1,21,21,43,2,37,0,53,0,38,0,0,0,35,0,61,47,13,0,0,13,96,0
2004,31,St. Luke's M. Hospital,748,17,504,8,322,4,226,7,273,273,594,54,774,12,506,19,341,53,0,0,285,28,277,141,85,30,5,144,28,"1,077"
2004,35,Tsangatsini Disp,135,0,165,0,172,0,131,1,19,19,139,2,208,1,190,1,122,5,0,0,101,2,133,38,17,12,3,115,0,0
2004,38,Total,"3,234",82,"2,833",28,"2,630",20,"2,160",27,"1,643","1,643","3,107",263,"3,309",60,"3,075",65,"2,347",147,0,1,"2,138",130,"2,396","1,286",273,113,211,"1,707","1,003","1,938"
2005,1,Amani M. Cl,7,0,51,0,57,0,65,1,15,15,51,0,57,10,67,1,33,4,0,0,32,4,36,38,40,7,18,69,18,13
2005,2,Bamba H/C,"1,092",6,"1,391",5,"1,352",141,"1,100",6,408,408,"1,529",10,"1,355",7,"1,142",5,"1,173",63,0,0,"1,179",53,"1,364",985,363,212,289,"1,378","1,311",830
2005,3,Bamba m. cl,17,0,10,0,12,0,8,0,0,0,16,0,14,0,18,0,18,0,0,0,18,0,9,12,16,5,0,77,87,89
2005,4,Bomani Dispensary,239,0,275,1,232,1,205,0,177,177,247,0,235,1,191,1,174,3,0,0,171,2,1,2,1,0,0,133,50,18
2005,6,Chasimba H/c,801,12,865,28,868,19,805,24,196,196,835,18,828,19,786,18,590,133,0,0,594,135,822,518,57,1,0,774,"1,637",227
2005,7,Chumani m. cl,273,2,322,5,303,0,267,5,128,128,297,7,288,1,244,5,206,4,0,0,209,31,190,75,6,0,1,68,32,1
2005,8,Dida Disp,697,8,383,1,377,0,406,0,232,232,363,1,364,0,406,2,373,21,0,0,362,22,298,165,92,20,19,267,218,179
2005,9,Dzikundze Disp.,122,1,165,1,168,0,165,1,52,52,175,0,171,0,189,0,119,8,0,0,93,7,154,93,13,2,0,0,1,1
2005,10,Ganze Disp,781,25,838,15,923,16,878,23,448,448,766,17,727,13,689,30,664,143,0,0,580,122,787,543,1,1,0,608,97,406
2005,12,Jaribuni Disp,234,6,286,4,238,2,227,9,116,116,260,8,217,2,183,15,221,38,0,0,217,20,223,154,5,21,1,218,318,14
2005,14,Junju Disp,238,5,305,21,253,6,239,8,52,52,247,9,215,3,183,6,238,32,0,0,238,26,18,0,0,0,191,420,232,32
2005,15,Kilifi D. Hospital,"4,165",9,"3,704",2,"3,393",2,"3,401",4,"2,681","2,681","3,720",4,"3,437",4,"3,419",2,"2,949",47,0,0,"2,854",25,"2,888","2,127",679,302,5,"2,464","2,918","2,421"
2005,16,Kizingo Disp,429,3,424,0,362,0,380,0,180,180,420,0,353,0,374,0,438,1,0,0,438,1,377,236,15,0,0,518,134,9
2005,19,Maamba m. cl,118,2,181,7,187,2,178,1,77,77,170,2,183,1,171,1,160,13,0,0,158,9,34,17,5,8,3,44,50,6
2005,22,Matsangoni Disp,745,6,907,2,858,3,805,17,551,551,914,7,871,8,808,18,740,52,0,0,691,42,764,525,142,29,7,656,"1,439",158
2005,24,Mirihini Disp,30,0,67,2,53,0,35,2,22,22,92,6,53,0,53,0,37,9,0,0,21,0,99,81,31,0,0,168,23,45
2005,25,Mryachakwe,230,10,279,12,300,13,301,20,171,171,277,10,233,10,239,10,204,32,0,0,192,28,245,177,209,106,57,361,761,104
2005,26,Mtepeni Disp,170,0,233,0,196,2,161,6,105,105,226,0,396,2,160,6,160,17,0,0,147,17,130,82,55,6,0,79,115,25
2005,27,Mtwapa Disp,770,1,911,2,840,1,791,6,413,413,833,3,767,3,683,3,811,41,0,0,800,63,382,255,112,46,20,347,590,304
2005,29,Ngerenya Disp,174,7,295,7,261,6,314,11,128,128,280,6,279,3,300,10,258,59,0,0,281,67,63,91,63,19,0,332,271,0
2005,30,Nuru m. cl,54,2,80,1,73,2,70,0,48,48,77,0,75,0,68,0,46,0,0,0,16,0,29,13,3,1,0,17,4,0
2005,31,Pingilikani Disp,347,3,458,6,411,2,408,7,89,89,403,1,377,2,364,4,328,31,0,0,306,31,91,157,169,142,50,260,23,37
2005,35,St. Theresa,87,0,97,0,99,0,91,0,40,40,85,0,83,0,92,0,68,12,0,0,68,18,43,36,11,2,0,19,7,0
2005,36,Sunn'sand m. cl,132,0,136,0,140,0,146,0,49,49,165,0,153,0,149,0,173,0,0,0,85,0,56,24,14,3,0,601,85,39
2005,37,Takaungu Disp,172,1,215,0,243,0,228,0,56,56,199,0,224,0,222,0,196,0,0,0,125,0,50,37,6,3,3,170,37,44
2005,38,Tezo Community Health Care,138,14,109,6,106,0,82,1,42,42,105,6,109,0,81,16,53,5,0,0,26,7,16,5,0,0,0,0,0,0
2005,40,Vipingo H/C,"1,403",8,"1,343",6,"1,176",3,"1,108",3,836,836,"1,415",5,"1,228",3,"1,188",4,865,35,0,0,853,34,"2,707","1,755",17,2,68,"1,060",998,"1,037"
2005,41,Vitengeni H/C,485,1,446,0,525,5,485,20,169,169,494,16,484,7,474,19,504,41,0,0,493,61,357,291,127,55,8,168,849,81
2005,42,Wananchi N. Home,3,0,6,0,6,0,7,0,3,3,0,0,1,0,0,0,3,0,0,0,0,0,9,4,6,0,0,0,0,0
2005,43,Total,"14,153",132,"14,782",134,"14,012",226,"13,356",175,"7,484","7,484","14,661",136,"13,777",99,"12,943",176,"11,802",844,0,0,"11,247",825,"12,242","8,498","2,258",993,740,"11,276","12,305","6,120"
2005,5,Bwagamoyo Dispensary,53,0,92,0,106,0,108,0,10,10,75,0,68,0,58,0,123,0,0,0,91,0,151,49,4,2,0,295,182,240
2005,11,Gotani Disp,514,10,534,47,401,64,308,44,210,210,371,58,366,55,297,35,241,97,2,0,79,105,259,222,153,5,25,200,106,252
2005,13,Jibana H/C,661,2,716,1,679,6,693,4,566,566,788,8,835,20,708,7,640,13,0,0,642,22,641,470,29,2,1,84,114,0
2005,17,Kombeni Disp,286,0,336,2,322,0,275,43,217,217,284,4,272,0,269,3,277,10,0,0,277,10,171,164,33,28,1,157,21,156
2005,18,Lenga Disp,159,2,170,1,139,0,137,0,149,149,172,4,115,7,126,5,163,6,0,0,163,7,31,37,54,54,54,31,3,34
2005,20,Makanzani,368,2,404,1,401,1,388,3,236,236,396,0,392,1,374,2,383,8,0,0,383,8,459,210,34,4,1,164,70,141
2005,21,Mariakani S.D. Hospital,"2,024",0,"2,077",1,"1,924",1,"1,742",1,"1,156","1,156","2,064",0,"1,933",8,"1,711",0,"1,378",5,0,0,"1,280",4,"2,123","1,435",610,70,8,"1,243",56,0
2005,23,Mgamboni Disp,83,2,87,9,66,3,65,2,65,65,90,8,61,3,57,3,88,18,0,0,87,17,61,28,2,0,0,51,239,222
2005,28,Neema M. Cl,138,1,159,2,157,0,129,1,72,72,145,1,140,0,117,1,109,3,0,0,69,0,105,62,20,23,0,89,20,36
2005,32,Rabai H/C,"1,357",1,"1,374",1,"1,264",0,"1,269",2,769,769,"1,402",0,"1,299",0,"1,192",0,"1,130",6,0,0,"1,130",6,"2,123","1,278",73,8,0,888,69,728
2005,33,Ribe,51,1,91,0,50,0,133,0,2,2,99,5,64,0,144,0,101,0,0,0,101,0,170,160,8,0,0,252,335,25
2005,34,St. Luke's M. Hospital,"1,861",25,"1,936",22,"1,968",25,"1,847",21,547,547,"1,655",30,"1,745",17,"1,648",11,"1,284",46,0,0,"1,260",33,"1,223",863,572,225,75,956,141,"1,389"
2005,38,Tezo Community Health Care,138,14,109,6,106,0,82,1,42,42,105,6,109,0,81,16,53,5,0,0,26,7,16,5,0,0,0,0,0,0
2005,39,Tsangatsini Disp,525,1,466,4,519,5,458,8,107,107,597,7,540,7,504,17,336,98,4,0,193,61,610,333,"2,153",56,11,255,151,8
2005,43,Total,"8,218",61,"8,551",97,"8,102",105,"7,634",130,"4,148","4,148","8,243",131,"7,939",118,"7,286",100,"6,306",315,6,0,"5,781",280,"8,143","5,316","3,745",477,176,"4,665","1,507","3,231"
2006,1,Amani M. Cl,2,0,50,0,40,1,48,0,8,8,45,0,36,1,48,1,69,2,0,6,63,2,61,42,36,18,8,63,18,0
2006,2,Bamba H/C,"1,850",7,"1,518",14,"1,464",6,"1,269",10,665,665,"1,651",20,"1,439",2,"1,293",12,"1,424",42,0,0,"1,415",37,775,546,498,355,318,843,255,406
2006,3,Bamba m. cl,452,1,222,0,195,0,204,0,68,68,216,0,198,0,186,5,285,0,0,0,274,0,131,114,96,77,32,147,98,70
2006,4,Bomani Dispensary,233,0,255,3,254,0,282,0,174,174,273,0,273,0,300,0,272,2,0,1,269,3,16,8,13,0,0,0,0,0
2006,6,Chasimba H/c,770,4,833,6,813,0,747,25,163,163,738,3,797,0,754,8,590,64,0,0,567,73,493,358,144,89,29,877,"1,122",16
2006,7,Chumani m. cl,283,2,310,12,269,8,255,2,110,110,289,3,254,0,239,0,215,5,0,0,119,6,158,63,13,5,0,79,32,1
2006,8,Dida Disp,367,12,379,8,416,9,359,8,295,295,368,5,414,11,413,6,360,39,0,0,357,41,431,232,122,39,34,130,139,693
2006,9,Dzikundze Disp.,415,5,360,1,416,1,392,4,159,159,384,2,419,0,359,4,376,39,5,0,391,31,238,189,71,10,3,136,238,86
2006,10,Ganze Disp,938,3,860,3,817,14,774,9,391,391,830,2,897,2,827,7,509,31,0,0,495,20,772,625,1,0,0,435,18,527
2006,12,Jaribuni Disp,427,2,457,0,489,2,462,0,210,210,413,1,473,2,385,0,399,15,0,0,399,15,147,114,146,358,0,522,266,94
2006,14,Junju Disp,305,5,275,6,305,12,331,17,140,140,258,10,264,14,284,33,256,46,0,0,246,42,82,48,39,56,242,7,1,0
2006,15,Kilifi D. Hospital,"4,741",18,"3,709",8,"3,660",5,"3,496",16,"2,859","2,859","3,709",8,"3,572",5,"3,417",10,"3,214",73,0,0,"3,171",67,"2,153","1,436",583,446,368,"2,327","2,274","2,376"
2006,16,Kizingo Disp,432,0,402,0,375,0,355,0,165,165,383,0,376,0,352,0,367,11,0,0,364,11,274,193,16,1,0,152,5,0
2006,19,Maamba m. cl,173,1,174,1,191,1,195,1,70,70,154,1,185,0,177,2,154,12,0,0,152,12,70,13,0,0,2,91,28,4
2006,22,Matsangoni Disp,933,1,913,2,917,7,893,6,424,424,956,6,919,6,858,5,814,21,0,0,740,16,759,489,70,5,5,167,46,1
2006,24,Mirihini Disp,300,11,256,8,222,11,140,10,81,81,220,26,241,6,139,5,189,30,0,0,176,115,285,97,5,0,0,88,26,4
2006,25,Mryachakwe,193,0,199,2,241,3,211,9,111,111,196,6,234,4,219,5,200,45,0,0,197,36,395,147,92,104,70,58,686,64
2006,26,Mtepeni Disp,235,0,233,13,223,0,237,1,128,128,232,0,208,0,211,1,176,40,6,0,165,39,157,90,40,0,0,139,99,31
2006,27,Mtwapa Disp,"1,271",11,"1,209",10,"1,199",4,"1,103",3,550,550,"1,042",11,"1,060",7,"1,041",3,"1,056",43,0,0,"1,056",39,754,519,61,18,0,714,838,569
2006,29,Ngerenya Disp,315,3,318,4,338,2,352,1,127,127,325,4,360,3,346,3,377,29,0,0,373,28,155,76,39,16,3,120,15,0
2006,30,Nuru m. cl,63,0,77,0,76,0,77,0,46,46,69,0,74,0,79,0,54,0,0,0,54,1,58,18,9,0,0,14,0,0
2006,31,Pingilikani Disp,525,2,505,1,505,0,495,5,97,97,490,1,500,1,479,1,383,33,0,0,376,32,72,68,128,164,166,136,15,121
2006,35,St. Theresa,163,2,196,0,191,1,155,0,38,38,192,8,188,4,151,0,90,1,0,0,55,5,66,58,16,0,1,86,20,134
2006,36,Sunn'sand m. cl,131,0,114,9,118,30,134,8,68,68,137,7,155,0,153,0,137,0,0,12,128,0,44,33,9,7,0,623,0,0
2006,37,Takaungu Disp,118,0,99,0,122,0,129,0,58,58,98,0,125,0,127,0,131,0,0,0,111,0,4,12,43,0,0,0,0,0
2006,38,Tezo Community Health Care,208,0,144,0,130,0,124,0,32,32,126,0,115,0,111,0,69,3,0,0,50,9,68,33,6,0,0,0,0,0
2006,40,Vipingo H/C,"1,431",6,"1,288",2,"1,289",5,"1,200",4,767,767,"1,216",1,"1,164",2,"1,085",3,985,26,0,0,965,25,"2,450","1,278",42,0,56,648,459,764
2006,41,Vitengeni H/C,505,4,353,12,322,3,295,8,235,235,360,9,328,6,303,6,335,41,0,0,338,46,620,321,149,52,14,28,59,33
2006,42,Wananchi N. Home,26,1,32,0,43,2,35,1,17,17,32,0,43,0,36,0,17,1,0,0,11,0,28,13,3,1,0,30,42,30
2006,43,Total,"17,805",101,"15,740",125,"15,640",127,"14,749",148,"8,256","8,256","15,402",134,"15,311",76,"14,372",120,"13,503",694,11,19,"13,077",751,"11,716","7,233","2,490","1,821","1,351","8,660","6,799","6,024"
2006,5,Bwagamoyo Dispensary,91,0,122,8,125,3,135,5,20,20,94,1,86,0,109,0,125,0,0,0,93,1,273,109,0,0,0,0,0,0
2006,11,Gotani Disp,531,8,388,19,333,17,279,14,131,131,329,22,282,21,261,33,219,115,0,0,217,138,341,247,188,8,0,20,7,8
2006,12,Jaribuni Disp,427,2,457,0,489,2,462,0,210,210,413,1,473,2,385,0,399,15,0,0,399,15,147,114,146,358,0,522,266,94
2006,13,Jibana H/C,594,0,618,3,654,0,561,1,454,454,572,4,561,2,548,1,594,6,0,1,572,7,842,478,11,0,2,0,0,0
2006,17,Kombeni Disp,431,2,424,1,427,0,472,1,249,249,394,1,441,1,453,2,402,8,0,0,402,8,131,164,26,11,1,144,62,152
2006,18,Lenga Disp,214,2,239,1,207,0,208,0,177,177,221,0,202,0,188,0,231,5,0,0,230,5,39,57,64,42,6,56,474,68
2006,20,Makanzani,548,7,499,5,504,3,483,5,381,381,485,4,514,1,441,4,442,26,39,17,423,25,480,199,16,5,0,0,0,0
2006,21,Mariakani S.D. Hospital,"2,029",1,"2,075",2,"1,980",2,"1,807",1,"1,272","1,272","2,151",4,"1,972",1,"1,862",0,"1,370",24,0,0,"1,369",25,"2,027","1,261",103,80,105,"1,392",26,0
2006,23,Mgamboni Disp,12,1,32,0,36,0,24,0,7,7,31,0,29,0,22,0,40,3,0,0,40,3,23,22,0,0,2,0,0,0
2006,28,Neema M. Cl,16,0,16,10,26,0,19,4,5,5,24,0,26,1,20,0,15,1,0,0,10,3,11,5,5,0,0,0,0,0
2006,32,Rabai H/C,"1,485",16,"1,298",7,"1,289",1,"1,259",10,617,617,"1,196",2,"1,089",4,958,6,"1,107",22,0,0,"1,107",28,"1,906","1,283",23,0,0,823,78,549
2006,33,Ribe,102,6,213,0,137,0,246,0,34,34,185,0,152,0,229,0,181,2,9,0,122,2,190,153,50,19,0,71,646,58
2006,34,St. Luke's M. Hospital,"2,650",9,"2,066",15,"2,168",7,"2,096",14,568,568,"2,158",8,"2,203",6,"1,926",21,"1,460",21,0,0,"1,502",18,"1,655",949,141,16,6,358,47,51
2006,39,Tsangatsini Disp,605,2,712,5,625,6,573,8,86,86,681,6,578,5,523,10,336,63,0,0,211,16,878,396,47,6,28,263,214,6
2006,43,Total,"9,735",56,"9,159",76,"9,000",41,"8,624",63,"4,211","4,211","8,934",53,"8,608",44,"7,925",77,"6,921",311,48,18,"6,697",294,"8,943","5,437",820,545,150,"3,649","1,820",986
2007,1,Amani M. Cl,0,0,33,0,24,2,39,0,2,2,39,0,21,6,32,0,41,8,0,0,46,2,64,25,26,57,55,23,20,9
2007,2,Bamba H/C,"2,093",7,"1,851",9,"1,727",15,"1,630",6,"1,151","1,151","1,780",18,"1,596",14,"1,443",35,"1,360",43,0,0,"1,348",34,"1,026",587,627,533,793,"1,256",411,502
2007,3,Bamba m. cl,96,0,136,0,123,0,135,0,90,90,155,0,128,0,129,0,100,3,0,0,63,52,63,52,67,100,129,100,0,0
2007,4,Bomani Dispensary,320,2,302,0,328,0,313,0,256,256,311,0,316,0,314,24,205,0,0,0,239,0,105,44,42,6,2,190,248,199
2007,6,Chasimba H/c,817,2,861,2,860,5,850,8,192,192,798,2,824,5,767,4,715,58,0,0,708,54,370,454,316,124,133,875,825,85
2007,7,Chumani m. cl,221,0,284,2,287,7,268,3,75,75,271,1,261,1,224,3,173,19,0,0,179,23,185,102,10,1,7,79,38,51
2007,8,Dida Disp,349,10,356,8,397,12,368,17,199,199,361,19,379,9,357,9,390,43,0,0,389,44,437,264,72,25,14,175,332,404
2007,9,Dzikundze Disp.,599,2,533,7,501,5,505,5,295,295,444,8,476,6,467,6,529,26,0,0,529,26,626,401,73,6,131,255,555,184
2007,10,Ganze Disp,936,17,888,9,854,4,874,1,385,385,843,5,817,2,754,2,748,66,0,0,714,67,866,489,44,11,90,786,372,430
2007,12,Jaribuni Disp,392,0,398,0,400,2,388,0,149,149,374,0,373,0,348,2,433,2,0,0,435,1,64,69,202,102,43,417,217,59
2007,14,Junju Disp,286,4,306,5,328,5,308,3,94,94,306,33,300,7,307,9,326,22,0,0,324,16,782,542,340,372,325,0,0,0
2007,15,Kadzinuni disp,51,0,51,0,63,1,52,0,13,13,58,0,64,0,50,0,23,2,0,0,21,2,4,4,1,3,0,19,6,0
2007,16,Kilifi D. Hospital,"4,636",29,"3,509",3,"3,371",3,"3,315",3,"3,218","3,218","3,586",4,"3,234",4,"3,065",10,"2,957",22,0,0,"2,935",41,866,690,786,649,443,"2,626","2,897","2,907"
2007,18,Kizingo Disp,553,0,512,0,379,0,416,0,236,236,448,0,384,0,412,0,439,3,0,0,438,2,244,192,244,0,2,403,68,4
2007,21,Maamba m. cl,124,0,152,1,162,1,162,1,48,48,147,1,167,1,147,0,169,11,0,0,169,9,78,15,13,0,0,97,51,7
2007,22,Madamani disp,1,0,4,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,32,2,2,0,0,16,6,2
2007,25,Matsangoni Disp,782,5,880,2,860,0,763,9,288,288,810,11,805,3,719,9,759,25,0,0,748,26,704,453,542,12,20,345,130,58
2007,27,Mirihini Disp,363,34,377,7,388,4,364,18,84,84,301,5,348,15,337,21,295,49,0,0,332,59,226,113,59,2,62,250,347,105
2007,28,Mryachakwe,237,14,222,1,235,1,252,14,121,121,222,2,235,4,246,9,192,47,0,0,191,53,295,222,134,107,110,213,843,90
2007,29,Msumarini dispensary,28,0,36,2,36,0,34,3,13,13,39,0,34,0,34,1,39,0,0,0,39,0,21,23,2,0,0,241,269,38
2007,30,Mtepeni Disp,145,1,199,6,191,3,206,3,97,97,201,2,207,3,203,2,179,19,0,0,178,19,96,108,40,25,5,91,180,87
2007,31,Mtwapa Disp,"1,175",15,"1,296",6,"1,115",3,"1,136",6,626,626,"1,110",5,"1,064",1,"1,094",3,"1,246",38,0,0,"1,242",39,"1,016",870,21,6,204,"1,152","1,122",498
2007,33,Ngerenya Disp,459,2,499,2,492,0,541,5,127,127,447,2,478,0,410,5,562,28,0,0,495,28,145,23,58,26,40,235,83,5
2007,34,Nuru m. cl,36,2,43,5,45,0,55,0,12,12,47,2,47,1,51,0,56,2,0,0,31,1,65,24,2,2,1,0,0,0
2007,35,Palakumi disp,15,0,1,3,6,0,10,0,1,1,4,0,3,0,8,0,11,0,0,0,11,0,2,0,0,0,0,0,0,0
2007,36,Pingilikani Disp,337,6,355,0,347,0,346,5,98,98,342,0,336,2,331,2,387,38,0,0,380,34,59,51,72,83,97,190,76,96
2007,39,Roka Maweni,24,0,24,0,33,1,43,2,20,20,26,0,38,1,50,2,43,9,0,0,38,8,27,19,71,0,8,94,114,94
2007,41,St. Theresa,152,3,164,0,194,0,156,1,36,36,161,0,180,0,150,0,124,3,0,0,115,3,99,73,26,0,1,106,37,52
2007,42,Sunn'sand m. cl,84,0,97,0,116,0,104,1,34,34,101,19,129,0,109,0,118,0,0,0,118,0,25,23,12,7,0,685,33,70
2007,43,Takaungu Disp,300,1,298,0,259,0,316,0,155,155,298,0,245,0,301,0,419,0,0,0,412,1,291,191,156,75,68,339,948,147
2007,44,Tezo Community Health Care,173,0,121,0,143,0,107,0,44,44,69,0,88,0,75,0,116,0,0,0,37,0,192,20,6,0,0,0,29,1
2007,46,Vipingo H/C,"1,394",7,"1,223",4,"1,074",0,"1,024",3,881,881,"1,132",7,"1,012",0,964,1,911,38,0,0,902,44,"2,729","1,531",30,1,0,572,436,713
2007,47,Vitengeni H/C,448,25,410,6,413,3,395,7,294,294,386,2,372,2,348,7,359,19,0,0,361,20,518,341,73,31,8,109,370,137
2007,48,Vutakaka med clinic,29,0,68,0,40,0,51,0,28,28,67,0,40,0,49,0,30,0,0,0,17,0,8,24,14,2,5,0,110,0
2007,49,Wananchi N. Home,43,3,55,3,41,2,40,4,31,31,55,0,43,0,40,1,54,1,0,0,52,1,30,39,2,3,4,53,21,54
2007,50,Total,"17,698",191,"16,544",93,"15,832",79,"15,567",128,"9,393","9,393","15,743",148,"15,044",87,"14,336",167,"14,508",644,0,0,"14,236",709,"12,360","8,080","4,185","2,371","2,800","11,992","11,194","7,088"
2007,5,Bwagamoyo Dispensary,203,2,182,0,170,0,177,0,104,104,164,0,189,0,171,0,183,0,0,0,176,1,186,115,19,322,1,49,211,37
