No.,Facility,0-11 UW,0-11 TW,12-35 UW,12-35 TW,36-59 UW,36-59 TW,Total (0-59) UW,Total (0-59) TW,Marasmus,Kwashiorkor,Anaemia,Faltering Wt,"Others eg, Vitamin A deficiency, etc (specify)",New Children Attending CWC Male,New Children Attending CWC Female,New Children Attending CWC Total,Total Children Attending CWC Male,Total Children Attending CWC Female,Total Children Attending CWC Total,Period
27,Mryachakwe,24,270,80,395,78,290,182,955,0,0,0,0,0,8,9,17,518,437,955,JUN
28,Msumarini dispensary,0,122,0,106,0,48,0,276,0,0,0,0,0,12,6,18,131,145,276,JUN
29,Mt. Harmony,0,11,0,18,0,1,0,30,0,0,0,0,0,3,2,5,19,11,30,JUN
30,Mtepeni Disp,8,152,17,101,15,60,40,313,0,0,0,1,0,17,9,26,167,146,313,JUN
31,Mtwapa Disp,19,"1,309",11,360,0,132,30,"1,801",1,3,8,12,0,56,43,99,829,972,"1,801",JUN
32,Mtwapa N. H,1,81,0,14,0,3,1,98,0,0,0,0,0,0,3,3,52,46,98,JUN
33,Ngerenya Disp,5,309,46,233,8,49,59,591,0,0,0,36,0,28,27,55,292,299,591,JUN
34,Nuru m. cl,0,7,0,1,0,0,0,8,0,0,0,0,0,0,0,0,5,3,8,JUN
35,Palakumi disp,0,210,0,38,0,11,0,259,0,0,0,0,0,9,11,20,147,112,259,JUN
36,Pingilikani Disp,1,379,1,24,0,4,2,407,0,0,0,0,0,11,14,25,204,203,407,JUN
37,Pwani Mat & N. Home,0,3,0,2,0,0,0,5,0,0,0,0,0,0,1,1,2,3,5,JUN
38,Rabai H/C,5,370,3,270,3,283,11,923,0,1,0,11,0,50,57,107,280,643,923,JUN
39,Ribe,0,180,0,50,0,3,0,233,0,0,0,0,0,5,9,14,123,110,233,JUN
40,Roka Maweni,7,266,15,82,1,25,23,373,0,0,0,0,0,26,28,54,162,211,373,JUN
41,St. Luke's M. Hospital,28,"1,188",10,80,0,0,38,"1,268",0,0,0,0,0,99,93,192,667,601,"1,268",JUN
42,St. Theresa,0,79,0,0,0,0,0,79,0,0,0,1,0,0,0,0,40,39,79,JUN
43,Sunn'sand m. cl,0,8,0,37,0,8,0,53,0,0,0,0,0,0,0,0,29,24,53,JUN
44,Takaungu Disp,4,394,3,105,5,115,12,614,0,0,0,0,0,63,62,125,304,310,614,JUN
45,Tezo Community Health Care,2,134,1,35,0,0,3,169,0,0,0,0,0,0,0,0,84,85,169,JUN
46,Tsangatsini Disp,33,549,115,367,41,129,189,"1,045",0,0,0,0,0,47,32,79,535,510,"1,045",JUN
47,Vipingo H/C,21,755,6,86,0,2,27,843,0,0,0,0,0,48,44,92,432,411,843,JUN
48,Vitengeni H/C,9,194,23,192,13,114,45,500,0,0,0,0,0,14,22,36,253,247,500,JUN
49,Vutakaka med clinic,9,80,0,47,0,11,9,138,0,0,0,0,0,0,0,0,78,60,138,JUN
50,Wananchi N. Home,1,36,5,40,0,2,6,78,0,0,0,0,0,0,1,1,38,40,78,JUN
51,Zion Community clinic,5,75,2,45,4,16,11,136,0,0,0,2,0,1,4,5,60,76,136,JUN
52,Totals June 2004,469,"18,447",657,"6,010",241,"2,071","1,367","26,528",5,13,17,125,0,"1,168","1,129","2,297","13,079","13,449","26,528",JUN
53,Amani M. Cl,0,11,0,12,0,3,0,26,0,0,0,0,0,0,0,0,13,13,26,JUL
54,Bamba H/C,38,"1,099",15,114,1,28,54,"1,241",0,0,0,0,0,37,33,70,643,598,"1,241",JUL
55,Bamba m. cl,0,50,0,27,0,0,0,77,0,0,5,10,0,0,0,0,44,33,77,JUL
56,Bomani Dispensary,0,267,2,65,0,0,2,332,0,0,0,0,0,14,19,33,163,169,332,JUL
57,Chasimba H/c,6,574,4,70,1,1,11,645,0,0,0,0,0,49,41,90,273,372,645,JUL
58,Chumani m. cl,3,153,3,18,0,0,6,171,2,1,0,3,0,8,8,16,89,82,171,JUL
59,Dida Disp,37,396,57,378,11,83,105,857,0,0,0,0,0,21,13,34,442,415,857,JUL
60,Dzikundze Disp.,16,820,7,407,2,202,25,"1,429",0,0,0,0,0,19,18,37,709,720,"1,429",JUL
61,Ganze Disp,11,548,10,134,0,2,21,684,0,0,0,0,0,21,30,51,340,344,684,JUL
62,Jaribuni Disp,9,533,7,221,0,46,16,800,0,0,0,16,0,18,22,40,426,374,800,JUL
63,Junju Disp,9,396,0,14,1,1,10,411,0,0,0,0,0,20,16,36,213,198,411,JUL
64,Kadzinuni disp,3,151,2,73,0,13,5,237,0,0,0,0,0,13,11,24,112,125,237,JUL
65,Kanamai Health Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUL
66,Kilifi D. Hospital,28,"2,303",56,418,2,33,86,"2,754",2,2,2,18,0,216,193,409,"1,368","1,386","2,754",JUL
67,Kizingo Disp,7,488,10,212,0,137,17,837,0,0,0,0,0,14,17,31,408,429,837,JUL
68,Maamba m. cl,3,56,5,14,0,0,8,70,0,0,0,0,0,2,3,5,36,34,70,JUL
69,Madamani disp,15,224,37,230,29,137,81,591,0,0,0,10,0,9,5,14,291,300,591,JUL
70,Matsangoni Disp,17,392,12,213,6,52,35,657,0,0,0,0,0,8,18,26,336,321,657,JUL
71,Mirihini Disp,16,337,13,227,8,100,37,664,0,0,0,20,0,22,16,38,347,317,664,JUL
72,Mryachakwe,12,247,128,360,77,226,217,833,0,0,0,0,0,18,16,34,443,390,833,JUL
73,Msumarini dispensary,0,155,0,54,0,39,0,248,0,0,1,0,0,10,6,16,117,131,248,JUL
74,Mt. Harmony,0,14,0,7,0,3,0,24,0,0,0,0,0,2,1,3,14,10,24,JUL
75,Mtepeni Disp,7,164,20,94,11,67,38,325,0,1,0,0,0,5,19,24,165,160,325,JUL
76,Mtwapa Disp,22,"1,192",10,431,0,163,32,"1,786",3,0,9,6,0,64,61,125,889,897,"1,786",JUL
77,Mtwapa N. H,1,65,0,17,0,0,1,82,0,0,0,0,0,5,2,7,46,36,82,JUL
78,Ngerenya Disp,7,371,56,269,12,57,75,697,0,0,1,0,0,26,27,53,332,365,697,JUL
79,Nuru m. cl,0,20,0,6,0,0,0,26,0,0,0,0,0,1,2,3,11,15,26,JUL
80,Palakumi disp,2,370,1,61,0,6,3,437,0,0,0,0,0,10,12,22,295,142,437,JUL
81,Pingilikani Disp,5,521,4,55,1,45,10,621,0,0,7,0,0,11,28,39,304,317,621,JUL
82,Roka Maweni,6,278,27,136,4,17,37,431,0,0,0,0,0,15,16,31,204,227,431,JUL
83,St. Luke's M. Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUL
84,St. Theresa,0,90,0,0,0,0,0,90,0,0,0,0,0,11,11,22,50,40,90,JUL
85,Sunn'sand m. cl,0,17,0,30,0,4,0,51,0,0,0,0,0,0,0,0,26,25,51,JUL
86,Takaungu Disp,8,405,4,159,3,153,15,717,0,0,0,15,0,190,206,396,357,360,717,JUL
87,Tezo Community Health Care,1,225,0,41,0,0,1,266,0,0,0,0,0,9,9,18,140,126,266,JUL
88,Vipingo H/C,11,766,5,94,0,8,16,868,2,0,1,16,0,50,84,134,400,468,868,JUL
89,Vitengeni H/C,3,184,19,216,12,125,34,525,0,3,0,7,0,30,22,52,280,245,525,JUL
90,Vutakaka med clinic,13,50,19,50,0,48,32,148,0,0,0,0,0,7,14,21,80,68,148,JUL
91,Wananchi N. Home,2,37,5,18,0,4,7,59,0,0,0,0,0,0,3,3,32,27,59,JUL
92,Zion Community clinic,5,65,3,43,3,15,11,123,0,0,0,3,0,2,3,5,55,68,123,JUL
93,Totals July 2004,323,"14,034",541,"4,988",184,"1,818","1,048","20,840",9,7,26,124,0,957,"1,005","1,962","10,493","10,347","20,840",JUL
94,Amani M. Cl,0,4,0,10,0,2,0,16,0,0,0,0,0,0,0,0,9,7,16,AUG
95,Bamba H/C,20,"1,141",18,27,0,75,38,"1,243",0,0,0,0,0,150,119,269,644,599,"1,243",AUG
96,Bamba m. cl,0,62,0,46,0,0,0,108,0,0,0,0,0,12,10,22,59,49,108,AUG
97,Bomani Dispensary,1,258,2,54,0,2,3,314,0,0,0,0,0,15,14,29,141,173,314,AUG
98,Chasimba H/c,11,608,5,55,0,0,16,663,0,0,0,0,0,57,43,100,341,322,663,AUG
99,Chumani m. cl,4,102,1,22,0,1,5,125,0,0,0,0,0,24,14,38,50,75,125,AUG
100,Dida Disp,33,325,52,247,12,86,97,658,0,0,0,0,0,16,9,25,337,321,658,AUG
101,Dzikundze Disp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUG
102,Ganze Disp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUG
103,Jaribuni Disp,4,555,2,164,0,9,6,728,0,0,0,0,0,22,14,36,393,335,728,AUG
104,Junju Disp,7,394,3,8,10,403,20,805,0,0,0,0,0,12,20,32,441,364,805,AUG
105,Kadzinuni disp,1,169,3,52,0,9,4,230,0,0,0,0,0,13,13,26,103,127,230,AUG
106,Kanamai Health Service,1,39,0,4,0,0,1,43,0,0,0,0,0,1,1,2,13,30,43,AUG
107,Kilifi D. Hospital,46,"2,011",61,521,7,27,114,"2,559",0,0,0,0,0,212,209,421,"1,457","1,102","2,559",AUG
108,Kizingo Disp,4,548,16,245,3,120,23,913,0,0,0,0,0,12,37,49,425,488,913,AUG
109,Maamba m. cl,2,89,3,13,0,0,5,102,0,0,0,0,0,4,5,9,52,50,102,AUG
110,Madamani disp,22,315,32,231,22,89,76,635,0,0,0,8,0,9,15,24,341,294,635,AUG
111,Matsangoni Disp,3,322,16,155,0,26,19,503,0,0,0,0,0,51,44,95,262,241,503,AUG
112,Mirihini Disp,15,279,10,159,0,75,25,513,0,0,0,0,0,10,11,21,241,272,513,AUG
113,Mryachakwe,0,133,92,203,56,99,148,435,0,0,0,0,0,12,11,23,249,186,435,AUG
114,Msumarini dispensary,5,130,4,55,3,51,12,236,0,0,0,0,0,24,17,41,117,119,236,AUG
115,Mt. Harmony,0,10,0,9,0,0,0,19,0,0,0,0,0,1,1,2,10,9,19,AUG
116,Mtepeni Disp,10,184,22,154,12,92,44,430,0,0,0,1,0,13,14,27,195,235,430,AUG
117,Mtwapa Disp,9,"1,193",12,384,2,201,23,"1,778",5,3,10,20,0,97,95,192,938,840,"1,778",AUG
118,Mtwapa N. H,4,83,2,36,0,4,6,123,0,0,0,0,0,10,13,23,69,54,123,AUG
119,Ngerenya Disp,22,467,38,195,11,27,71,689,0,0,0,0,0,27,46,73,333,356,689,AUG
120,Nuru m. cl,0,4,0,0,0,2,0,6,0,0,0,0,0,0,0,0,4,2,6,AUG
121,Palakumi disp,6,281,5,64,0,12,11,357,0,0,0,0,0,18,18,36,234,123,357,AUG
122,Pingilikani Disp,5,523,3,113,2,22,10,658,0,0,0,0,0,30,34,64,330,328,658,AUG
123,Roka Maweni,2,288,21,143,6,23,29,454,0,0,0,0,0,14,25,39,217,237,454,AUG
124,St. Theresa,0,75,0,0,0,0,0,75,0,0,0,0,0,10,8,18,38,37,75,AUG
125,Sunn'sand m. cl,0,24,0,27,0,3,0,54,0,0,0,0,0,0,0,0,32,22,54,AUG
126,Takaungu Disp,5,450,3,135,1,75,9,660,0,0,0,9,0,57,50,107,320,340,660,AUG
127,Tezo Community Health Care,1,205,0,35,0,0,1,240,0,0,0,0,0,4,11,15,115,125,240,AUG
128,Vipingo H/C,11,650,9,159,0,112,20,921,0,0,0,0,0,105,101,206,421,500,921,AUG
129,Vitengeni H/C,14,187,20,220,23,152,57,559,0,0,0,0,0,13,4,17,281,278,559,AUG
130,Wananchi N. Home,4,24,1,21,0,1,5,46,0,0,0,0,0,2,1,3,26,20,46,AUG
131,Zion Community clinic,9,88,3,55,1,17,13,160,0,0,0,3,2,11,21,32,80,80,160,AUG
132,Totals Aug 2004,281,"12,220",459,"4,021",171,"1,817",911,"18,058",5,3,10,41,2,"1,068","1,048","2,116","9,318","8,740","18,058",AUG
133,Amani M. Cl,0,14,0,22,0,4,0,40,0,0,0,0,0,0,0,0,19,21,40,SEP
134,Bamba H/C,20,"1,125",22,273,7,56,49,"1,454",0,0,0,0,0,97,71,168,756,698,"1,454",SEP
135,Bamba m. cl,0,52,0,0,0,0,0,52,0,0,0,0,0,7,6,13,31,21,52,SEP
136,Bomani Dispensary,0,269,1,48,0,0,1,317,0,0,0,0,0,10,171,181,146,171,317,SEP
137,Chasimba H/c,16,740,0,55,0,5,16,800,0,0,0,0,0,64,57,121,405,395,800,SEP
138,Chumani m. cl,3,157,0,23,0,0,3,180,0,0,0,0,0,14,11,25,94,86,180,SEP
139,Dida Disp,38,421,43,363,7,75,88,859,0,0,0,0,0,47,41,88,431,428,859,SEP
140,Dzikundze Disp.,8,712,5,205,7,78,20,995,0,0,0,0,0,28,18,46,522,473,995,SEP
141,Ganze Disp,14,412,6,266,0,16,20,694,0,0,0,0,0,27,18,45,345,349,694,SEP
142,Jaribuni Disp,7,468,6,86,0,30,13,584,0,0,0,0,0,18,22,40,270,314,584,SEP
143,Junju Disp,17,407,3,46,1,10,21,463,0,0,0,0,0,14,19,33,245,218,463,SEP
144,Kadzinuni disp,1,297,2,72,0,0,3,369,0,0,0,0,0,15,15,30,143,226,369,SEP
145,Kanamai Health Service,1,26,0,2,0,0,1,28,0,0,0,0,0,10,3,13,12,16,28,SEP
146,Kilifi D. Hospital,55,"2,485",64,457,7,40,126,"2,982",0,0,0,0,0,200,197,397,"1,531","1,451","2,982",SEP
147,Kizingo Disp,7,612,8,230,3,87,18,929,0,0,0,0,0,31,43,74,459,470,929,SEP
148,Maamba m. cl,3,89,2,13,0,0,5,102,0,0,0,0,0,4,1,5,54,48,102,SEP
149,Madamani disp,19,221,49,272,28,104,96,597,0,0,0,0,0,15,11,26,303,294,597,SEP
150,Matsangoni Disp,14,421,9,220,4,48,27,689,0,0,0,0,0,45,57,102,341,348,689,SEP
151,Mirihini Disp,15,353,15,140,11,107,41,600,0,0,0,0,0,16,20,36,380,220,600,SEP
152,Mryachakwe,5,182,79,326,77,189,161,697,0,0,0,0,0,6,6,12,367,330,697,SEP
153,Msumarini dispensary,1,161,3,21,0,0,4,182,0,0,0,0,0,13,17,30,87,95,182,SEP
154,Mt. Harmony,0,3,0,3,0,0,0,6,0,0,0,0,0,0,1,1,6,0,6,SEP
155,Mtepeni Disp,3,172,19,118,15,89,37,379,0,0,0,1,0,6,9,15,152,227,379,SEP
156,Mtwapa Disp,21,"1,489",24,497,28,136,73,"2,122",0,0,0,0,0,95,70,165,"1,130",992,"2,122",SEP
157,Mtwapa N. H,1,98,0,15,0,0,1,113,0,0,0,0,0,9,4,13,65,48,113,SEP
158,Ngerenya Disp,17,462,27,199,4,16,48,677,0,0,0,0,0,47,50,97,326,351,677,SEP
159,Nuru m. cl,0,10,0,3,0,0,0,13,0,0,0,0,0,1,1,2,8,5,13,SEP
160,Palakumi disp,3,253,5,9,9,9,17,271,0,0,0,0,0,7,19,26,165,106,271,SEP
161,Pingilikani Disp,9,568,3,102,0,76,12,746,0,0,0,0,0,21,24,45,411,335,746,SEP
162,Roka Maweni,2,314,20,148,3,16,25,478,0,0,0,0,0,18,15,33,207,271,478,SEP
163,St. Theresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEP
164,Sunn'sand m. cl,0,15,0,25,0,5,0,45,0,0,0,0,0,0,0,0,25,20,45,SEP
165,Takaungu Disp,1,495,1,156,0,86,2,737,0,0,0,0,0,69,46,115,439,298,737,SEP
166,Tezo Community Health Care,3,205,0,36,0,0,3,241,0,0,0,0,0,7,12,19,114,127,241,SEP
167,Vipingo H/C,10,572,5,98,0,35,15,705,0,0,0,0,0,77,88,165,359,346,705,SEP
168,Vitengeni H/C,29,121,7,115,5,62,41,298,0,0,0,0,0,20,18,38,129,169,298,SEP
169,Vutakaka med clinic,7,137,0,25,0,25,7,187,7,0,0,0,0,0,0,0,157,30,187,SEP
170,Wananchi N. Home,1,33,6,31,0,3,7,67,0,0,0,0,0,1,0,1,33,34,67,SEP
171,Zion Community clinic,5,66,2,31,0,9,7,106,0,0,0,0,0,3,6,9,52,54,106,SEP
172,Totals Sep - 2004,356,"14,637",436,"4,751",216,"1,416","1,008","20,804",7,0,0,1,0,"1,062","1,167","2,229","10,719","10,085","20,804",SEP
173,Amani M. Cl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OCT
174,Bamba H/C,42,"1,060",27,152,1,7,70,"1,219",0,0,0,0,0,628,591,"1,219",628,591,"1,219",OCT
175,Bamba m. cl,0,40,0,68,0,0,0,108,0,0,0,0,0,22,18,40,60,48,108,OCT
176,Bomani Dispensary,1,258,4,54,0,1,5,313,0,0,0,0,0,14,17,31,145,168,313,OCT
177,Chasimba H/c,7,701,2,43,0,1,9,745,0,0,0,0,0,61,59,120,386,359,745,OCT
178,Chumani m. cl,2,136,3,22,0,1,5,159,0,0,0,0,0,6,11,17,76,83,159,OCT
179,Dida Disp,49,379,61,386,10,46,120,811,0,0,0,0,0,14,19,33,373,438,811,OCT
180,Dzikundze Disp.,29,351,28,212,9,71,66,634,0,0,0,0,0,18,21,39,321,313,634,OCT
181,Ganze Disp,6,356,14,193,0,0,20,549,0,0,0,20,0,40,31,71,330,219,549,OCT
182,Junju Disp,0,379,10,260,4,53,14,692,0,0,0,0,0,14,25,39,409,283,692,OCT
183,kadaina community dispensary,0,27,0,33,0,22,0,82,0,0,0,0,0,0,0,0,28,54,82,OCT
184,Kadzinuni disp,1,199,2,40,1,6,4,245,0,0,0,0,0,8,11,19,112,133,245,OCT
185,Kanamai Health Service,1,25,0,0,0,0,1,25,0,0,0,0,0,1,4,5,11,14,25,OCT
186,Kilifi D. Hospital,70,"2,527",83,594,14,57,167,"3,178",0,1,1,0,0,159,202,361,"1,590","1,588","3,178",OCT
187,Kizingo Disp,8,614,5,189,3,93,16,896,0,0,0,0,0,28,24,52,429,467,896,OCT
188,Maamba m. cl,2,99,0,13,0,0,2,112,0,0,0,0,0,4,10,14,52,60,112,OCT
189,Madamani disp,7,241,47,293,32,104,86,638,0,0,0,0,0,13,17,30,332,306,638,OCT
190,Matsangoni Disp,3,490,28,289,6,130,37,909,0,0,0,0,0,42,28,70,483,426,909,OCT
191,Mirihini Disp,17,393,16,251,0,133,33,777,0,0,0,0,0,18,10,28,412,365,777,OCT
192,Mryachakwe,20,207,58,233,65,148,143,588,0,0,0,0,0,3,7,10,294,294,588,OCT
193,Msumarini dispensary,2,148,11,87,11,35,24,270,0,0,0,0,0,6,11,17,131,139,270,OCT
194,Mt. Harmony,0,10,0,6,0,5,0,21,0,0,0,0,0,1,1,2,13,8,21,OCT
195,Mtepeni Disp,1,134,9,69,6,92,16,295,0,0,0,1,0,2,7,9,138,157,295,OCT
196,Mtwapa Disp,22,"1,335",27,396,5,164,54,"1,895",3,0,10,14,0,65,41,106,924,971,"1,895",OCT
197,Mtwapa N. H,1,53,0,11,0,0,1,64,0,0,0,0,0,4,4,8,33,31,64,OCT
198,Ngerenya Disp,14,412,29,172,5,21,48,605,0,0,0,6,0,31,33,64,272,333,605,OCT
199,Nuru m. cl,0,14,0,0,0,0,0,14,0,0,0,0,0,2,1,3,9,5,14,OCT
200,Palakumi disp,3,218,0,12,0,9,3,239,0,0,0,0,0,12,16,28,142,97,239,OCT
201,Pingilikani Disp,12,597,8,52,2,17,22,666,0,0,0,0,0,21,20,41,343,323,666,OCT
202,St. Theresa,2,111,0,0,0,0,2,111,0,0,0,0,0,4,3,7,65,46,111,OCT
203,Sunn'sand m. cl,0,6,0,42,0,0,0,48,15,51,0,0,0,0,0,0,25,23,48,OCT
204,Takaungu Disp,4,412,1,217,0,129,5,758,0,1,0,4,5,103,79,182,442,316,758,OCT
205,Tezo Community Health Care,3,189,0,24,0,0,3,213,3,0,0,0,0,11,6,17,112,101,213,OCT
206,Vipingo H/C,14,582,9,70,0,20,23,672,0,0,0,23,0,75,52,127,357,315,672,OCT
207,Vitengeni H/C,15,143,10,152,10,64,35,359,0,0,0,0,0,5,19,24,175,184,359,OCT
208,Wananchi N. Home,0,31,4,25,0,2,4,58,0,0,0,0,0,0,3,3,28,30,58,OCT
209,Zion Community clinic,3,41,3,14,0,0,6,55,0,0,0,0,0,0,0,0,24,31,55,OCT
210,Totals Oct 2004,361,"12,918",499,"4,674",184,"1,431","1,044","19,023",21,53,11,68,5,"1,435","1,401","2,836","9,704","9,319","19,023",OCT
211,Amani M. Cl,0,21,1,19,0,4,1,44,0,0,0,0,0,0,0,0,24,20,44,NOV
212,Bamba H/C,25,"1,057",6,138,6,60,37,"1,255",0,0,0,0,0,52,40,92,647,608,"1,255",NOV
213,Bamba m. cl,0,31,0,12,0,0,0,43,0,0,0,0,0,5,7,12,21,22,43,NOV
214,Bomani Dispensary,1,263,1,47,0,0,2,310,0,0,0,0,0,18,12,30,138,172,310,NOV
215,Chasimba H/c,21,776,15,118,0,35,36,929,0,0,0,0,0,39,33,72,473,456,929,NOV
216,Chumani m. cl,2,141,0,11,0,0,2,152,0,0,0,0,0,8,4,12,78,74,152,NOV
217,Dzikundze Disp.,28,387,44,227,23,119,95,733,0,0,0,0,0,19,16,35,380,353,733,NOV
218,Ganze Disp,0,361,11,167,0,30,11,558,0,0,0,3,0,30,31,61,338,220,558,NOV
219,Jaribuni Disp,10,430,2,124,0,22,12,576,0,0,0,0,0,8,4,12,354,222,576,NOV
220,Junju Disp,0,351,0,10,0,0,0,361,0,0,0,0,0,5,15,20,186,175,361,NOV
221,Kadzinuni disp,0,161,3,46,0,16,3,223,0,0,0,0,0,6,9,15,113,110,223,NOV
222,Kanamai Health Service,2,25,0,0,0,0,2,25,0,0,0,0,0,3,4,7,10,15,25,NOV
223,Kilifi D. Hospital,53,"2,326",98,483,6,26,157,"2,835",0,0,0,0,0,126,155,281,"1,455","1,380","2,835",NOV
224,Kizingo Disp,6,704,5,189,3,112,14,"1,005",0,0,0,0,0,198,137,335,533,472,"1,005",NOV
225,Maamba m. cl,3,87,1,7,0,0,4,94,0,0,0,0,0,2,4,6,44,50,94,NOV
226,Madamani disp,13,209,46,228,28,84,87,521,1,0,0,4,0,7,5,12,277,244,521,NOV
227,Matsangoni Disp,4,492,9,261,1,42,14,795,0,0,2,0,0,18,12,30,407,388,795,NOV
228,Mirihini Disp,8,236,18,139,0,237,26,612,2,0,0,0,0,12,10,22,214,398,612,NOV
229,Mryachakwe,15,235,140,380,98,218,253,833,0,0,0,0,0,11,7,18,425,408,833,NOV
230,Msumarini dispensary,7,141,3,90,2,61,12,292,0,0,0,0,0,10,10,20,136,156,292,NOV
231,Mt. Harmony,0,13,0,8,0,5,0,26,0,0,0,0,0,0,2,2,16,10,26,NOV
232,Mtepeni Disp,1,123,6,54,4,51,11,228,0,0,0,0,0,9,5,14,98,130,228,NOV
233,Mtwapa Disp,18,"2,146",12,296,5,319,35,"2,761",3,0,1,24,0,45,41,86,"1,883",878,"2,761",NOV
234,Mtwapa N. H,1,111,0,17,0,3,1,131,0,0,0,0,0,9,6,15,71,60,131,NOV
235,Ngerenya Disp,12,480,6,182,6,20,24,682,0,0,1,3,0,36,35,71,319,363,682,NOV
236,Nuru m. cl,0,19,0,0,0,0,0,19,0,0,0,0,0,0,3,3,10,9,19,NOV
237,Palakumi disp,5,173,0,15,0,0,5,188,0,0,0,0,0,10,9,19,97,91,188,NOV
238,Pingilikani Disp,16,577,17,88,7,21,40,686,0,0,0,0,0,18,16,34,344,342,686,NOV
239,Roka Maweni,1,322,9,124,0,30,10,476,0,0,0,0,0,20,28,48,207,269,476,NOV
240,St. Theresa,0,85,1,21,0,23,1,129,0,0,0,0,0,4,12,16,55,74,129,NOV
241,Sunn'sand m. cl,0,24,0,32,0,2,0,58,0,0,0,0,0,2,1,3,27,31,58,NOV
242,Takaungu Disp,16,348,0,322,0,42,16,712,0,0,0,0,0,62,74,136,367,345,712,NOV
243,Tezo Community Health Care,2,117,0,30,0,0,2,147,0,0,0,0,0,5,6,11,72,75,147,NOV
244,Vipingo H/C,4,875,0,48,0,7,4,930,0,0,0,0,0,77,57,134,449,481,930,NOV
245,Vitengeni H/C,6,97,6,122,6,25,18,244,0,0,0,0,0,12,8,20,135,109,244,NOV
246,Wananchi N. Home,0,19,4,28,0,1,4,48,0,0,0,0,0,0,0,0,21,27,48,NOV
247,Zion Community clinic,4,61,0,10,0,0,4,71,0,0,0,0,0,0,0,0,27,44,71,NOV
248,Totals Nov - 2004,284,"14,024",464,"4,093",195,"1,615",943,"19,732",6,0,4,34,0,886,818,"1,704","10,451","9,281","19,732",NOV
