Month,DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL,
JAN,Dis. Of the skin,85,3,127,13,6,,44,278,49,16,37,,6,108,142,169,134,20,40,505,891,
JAN,Rheumatisim,44,9,109,7,90,,120,379,26,13,27,,15,81,67,6,103,18,14,208,668,
JAN,Congential Anomalis,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Pyrexia of unknown origin,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Poisoning,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1,0,0,0,1,1,
JAN,Accidents ( fructures & Burns),26,2,35,5,28,,18,114,6,6,11,,4,27,32,20,47,0,1,100,241,
JAN,Typhoid ,0,8,0,0,4,,0,12,0,7,19,,8,34,0,0,0,0,0,0,46,
JAN,Amebiasis,0,0,0,0,0,,0,0,13,0,0,,0,13,0,0,0,0,0,0,13,
JAN,Diabetes,0,0,0,0,0,,0,0,1,0,0,,0,1,0,0,0,0,0,0,1,
JAN,Epilepsy,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,SYPHILIS,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,HIV ,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Assault,12,0,0,0,0,,0,12,0,0,0,,0,0,9,0,0,0,0,9,21,
JAN,Snake bite,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Other bites,0,0,0,0,1,,0,1,0,0,9,,0,9,0,0,0,0,0,0,10,
JAN,Brucellosis,0,0,0,0,0,,0,0,0,2,2,,0,4,0,0,0,0,0,0,4,
JAN,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,,,,,,,,,,,,,,,,,,,,,,,
JAN,All other diseases,181,6,166,,8,,138,499,21,94,6,,0,121,113,297,13,39,,462,1082,
JAN,TOTAL NEW CASES,2030,108,2775,229,744,0,1392,7278,620,628,444,,175,1867,2873,1815,1967,351,1152,8158,17303,
JAN,Re-attendances(Re-visits),66,,27,78,124,,132,427,20,104,78,,36,238,84,154,13,,46,297,962,
JAN,REFERRALS,,,,,4,,0,4,1,0,2,,0,3,4,,,4,1,9,16,
JAN,No. of first Attendances,1807,,1525,104,664,,1061,5161,,562,326,,115,1003,1671,1413,1432,351,755,5622,11786,
JAN,Avrage dis. per Attendance,1,#DIV/0!,2,1,1,#DIV/0!,1,1,31,1,1,,1,2,2,1,1,1,1,1,1,
FEB,Diarhoheal Diseases,38,,10,12,17,,2,79,,70,11,,25,,106,73,26,25,5,20,149,334
FEB,Tuberculosis,,,,,,,,0,,,,,,,0,,1,,,,1,1
FEB,Leprosy,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Whoopng Cough,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Meningitis,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Tetenus,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Poliomyelitis,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,chicken Pox,1,,1,,,,,2,,,,,,,0,6,2,,,1,9,11
FEB,Measles,1,,,,,,,1,,,,,4,,4,,5,,,,5,10
FEB,Infections Hepatitis,,,,,,,,0,,,,,,,0,,2,,,,2,2
FEB,Mumps,,,2,,,,12,14,,,,,,,0,7,6,,,,13,27
FEB,Malaria,1135,68,893,141,486,,769,3492,,302,287,,447,,1036,1813,482,607,167,550,3619,8147
FEB,Gonorrhea,3,,,,2,,,5,,6,1,,,,7,1,3,,,,4,16
FEB,Urinary Tract Infections,7,1,6,7,19,,11,51,,11,13,,6,,30,16,37,1,1,13,68,149
FEB,Bilharzia,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Intestinal Worms,76,42,169,16,119,,120,542,,101,65,,84,,250,190,197,111,39,153,690,1482
FEB,Malnutrition,,,,,,,,0,,,,,,,0,,1,,,,1,1
FEB,Anaemia,4,,1,,2,,,7,,5,,,,,5,4,6,,,1,11,23
FEB,Eye Infections,11,,8,3,8,,13,43,,28,2,,15,,45,29,34,10,2,6,81,169
FEB,Cataract,,,,,,,,0,,0,,,,,0,,,,2,,2,2
FEB,ear infectins,27,,21,7,14,,26,95,,,7,,,,7,54,54,19,1,10,138,240
FEB,Dis. Of circulatory systems,1,,,,5,,,6,,,,,,,0,3,,,,,3,9
FEB,Dis of Respiratory systems,1125,25,475,113,164,,335,2237,,80,99,,208,,387,711,500,374,85,237,1907,4531
FEB,Pneumonia,26,6,3,5,4,,,44,,17,18,,29,,64,285,29,17,15,1,347,455
FEB,Abortion,1,,,,,,1,2,,,,,,,0,,2,,,,2,4
FEB,Dis. Of peuperium & child birth,,,1,,,,,1,,,,,,,0,3,1,10,,,14,15
FEB,Neoplasms,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Dis. Of blood & blood forming organs,,,,,5,,,5,,,,,,,0,1,,,,,1,6
FEB,mental Disorders,3,,4,,1,,,8,,,,,,,0,5,1,,,,6,14
FEB,Dental disorders,8,,4,5,1,,15,33,,,9,,,,9,4,5,7,7,19,42,84
FEB,Dis. Of the skin,86,2,66,18,38,,51,261,,16,44,,54,,114,125,119,88,15,73,420,795
FEB,Rheumatisim,18,5,90,11,29,,117,270,,20,36,,83,,139,99,2,98,11,31,241,650
FEB,Congential Anomalis,,,,,,,,0,,,,,,,0,,1,,,,1,1
FEB,Pyrexia of unknown origin,1,,,,2,,,3,,,,,,,0,,,,,,0,3
FEB,Poisoning,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Accidents ( fructures & Burns),25,8,24,6,7,,20,90,,5,11,,10,,26,38,28,22,,26,114,230
FEB,Typhoid ,31,9,,,11,,,51,,3,19,,,,22,,,,,,0,73
FEB,Amebiasis,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Diabetes,,,,,,,,0,,,,,,,0,,,,,,0,0
FEB,Epilepsy,,,,,,,,0,,,,,,,0,,,,,,0,
FEB,SYPHILIS,,,,,,,,0,,,,,,,0,,,,,,0,
FEB,HIV ,,,,,,,,0,,,,,,,0,,,,,,0,
FEB,Assault,,,,,,,,0,,,,,2,,2,14,,,,,14,
FEB,Snake bite,,,,,,,,0,,,,,,,0,,,,,,0,
FEB,Other bites,,,,,13,,,13,,,1,,,,1,,,,8,,8,
FEB,,,,,,,,,0,,,,,,,0,,,,3,,3,
FEB,,,,,,,,,0,,,,,,,0,,,,,,0,
FEB,,,,,,,,,0,,,,,,,0,,,,,,0,
FEB,All other diseases,190,14,,330,17,,133,684,,127,10,,29,,166,127,324,8,9,14,482,
FEB,TOTAL NEW CASES,2818,180,,92,964,,1614,5668,,,633,,963,,1596,3608,,1396,,1122,6126,
FEB,Re-attendances(Re-visits),333,23,,,172,,210,738,,,108,,61,,169,349,184,30,3,61,627,
FEB,REFERRALS,2,,,199,1,,6,208,,,1,,,,1,11,,1,,6,18,
FEB,No. of first Attendances,2020,,,,860,,1031,3911,,,410,,,,410,1605,1522,992,372,688,5179,
FEB,Avrage dis. per Attendance,,,,,,,,0,,,,,,,0,,,1,,,1,
MAR,Diarhoheal Diseases,38,0,22,12,17,,0,89,11,,11,,5,27,73,26,62,5,8,174,290,
MAR,Tuberculosis,0,0,0,0,0,,0,0,,,0,,0,0,0,0,0,,,0,0,
MAR,Leprosy,0,0,0,0,0,,0,0,,,0,,0,0,0,0,,,,0,0,
MAR,Whoopng Cough,0,0,0,0,0,,0,0,,,0,,0,0,0,0,,,,0,0,
MAR,Meningitis,0,0,0,0,0,,0,0,,,0,,0,0,0,0,,,,0,0,
MAR,Tetenus,0,0,0,0,0,,0,0,,,0,,0,0,0,0,,,,0,0,
MAR,Poliomyelitis,0,0,0,0,0,,0,0,,,0,,0,0,0,0,,,,0,0,
MAR,chicken Pox,0,0,15,0,0,,0,15,,,0,,0,0,6,2,,,,8,23,
MAR,Measles,1,0,4,0,0,,0,5,2,,0,,0,2,0,5,,,,5,12,
MAR,Infections Hepatitis,0,0,0,0,0,,0,0,,,0,,0,0,0,2,,,,2,2,
MAR,Mumps,0,0,0,0,0,,1,1,1,,0,,0,1,7,6,,,,13,15,
MAR,Malaria,1135,68,1184,141,486,,769,3783,301,,287,,156,744,1813,482,914,167,746,4122,8649,
MAR,Gonorrhea,3,0,0,0,2,,,5,,,1,,0,1,1,3,4,0,1,9,15,
MAR,Urinary Tract Infections,7,1,9,7,19,,11,54,,,13,,2,15,16,37,16,1,7,77,146,
MAR,Bilharzia,0,0,0,0,0,,0,0,,,,,,0,,,,,,0,0,
MAR,Intestinal Worms,76,42,243,16,119,,120,616,38,,65,,33,136,190,197,47,39,188,661,1413,
MAR,Malnutrition,0,0,0,0,0,,0,0,,,0,,0,0,O,1,6,0,0,7,7,
MAR,Anaemia,4,0,0,0,0,,,4,,,0,,0,0,4,6,68,0,2,80,84,
MAR,Eye Infections,11,0,18,3,8,,13,53,10,,2,,1,13,29,34,46,2,6,117,183,
MAR,Cataract,0,0,0,0,0,,0,0,,,0,,0,0,0,0,0,2,0,2,2,
MAR,ear infectins,27,0,23,7,14,,26,97,10,,7,,8,25,54,54,47,1,8,164,286,
MAR,Dis. Of circulatory systems,1,0,0,0,0,,0,1,,,0,,0,0,3,0,0,0,0,3,4,
MAR,Dis of Respiratory systems,1125,25,781,113,164,,335,2543,146,,99,,52,297,711,500,317,85,248,1861,4701,
MAR,Pneumonia,26,6,5,5,4,,,46,8,,18,,19,45,285,29,135,15,2,466,557,
MAR,Abortion,1,0,0,0,0,,,1,,,0,,0,0,0,2,0,0,0,2,3,
MAR,Dis. Of peuperium & child birth,0,0,0,0,0,,,0,,,0,,0,0,3,1,9,0,4,17,17,
MAR,Neoplasms,0,0,0,0,0,,,0,,,0,,0,0,0,0,0,0,1,1,1,
MAR,Dis. Of blood & blood forming organs,0,0,0,0,5,,,5,,,0,,0,0,1,0,0,0,0,1,6,
MAR,mental Disorders,3,0,2,0,1,,,6,,,0,,0,0,5,1,0,0,1,7,13,
MAR,Dental disorders,8,0,10,5,1,,15,39,8,,9,,3,20,4,5,12,7,15,43,102,
MAR,Dis. Of the skin,86,2,100,18,38,,51,295,14,,44,,11,69,125,119,142,15,110,511,875,
MAR,Rheumatisim,18,5,67,11,29,,117,247,35,,36,,9,80,99,2,84,11,39,235,562,
MAR,Congential Anomalis,0,0,0,0,,,,0,,,0,,0,0,0,1,0,0,0,1,1,
MAR,Pyrexia of unknown origin,1,0,0,0,2,,,3,,,0,,0,0,0,0,0,0,0,0,3,
MAR,Poisoning,0,0,0,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,
MAR,Accidents ( fructures & Burns),25,8,29,6,7,,20,95,5,,11,,1,17,38,28,38,0,10,114,226,
MAR,Typhoid ,,9,,,11,,,20,5,,19,,,24,,,,,,0,44,
MAR,Amebiasis,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,Diabetes,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,Epilepsy,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,SYPHILIS,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,HIV ,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,Assault,31,,,,,,,31,,,,,,0,14,,,,,14,45,
MAR,Snake bite,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,Other bites,,,,,,,,0,,,1,,,1,,,,,,0,1,
MAR,,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,,,,,,,,,0,,,,,,0,,,,,,0,0,
MAR,All other diseases,190,14,102,,17,,133,456,14,,10,,,24,127,324,25,11,,487,967,
MAR,TOTAL NEW CASES,2818,180,2510,330,964,,1614,8416,607,,633,,283,1523,3608,1868,2045,361,1409,9291,19230,
MAR,Re-attendances(Re-visits),333,23,202,92,172,,210,1032,91,,108,,36,235,349,184,87,3,143,766,2033,
MAR,REFERRALS,2,0,0,,1,,6,9,2,,1,,0,3,11,0,0,0,3,14,26,
MAR,No. of first Attendances,2020,,1327,199,860,,1031,5437,,,410,,180,590,1605,1522,1388,378,814,5707,11734,
MAR,Avrage dis. per Attendance,,,,,,,,,,,,,,,,,,,2,,,
APR,Diarhoheal Diseases,29,,27,10,24,,6,96,32,45,10,,5,92,105,47,46,11,1,210,398,
APR,Tuberculosis,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Leprosy,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Whoopng Cough,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Meningitis,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Tetenus,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Poliomyelitis,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,chicken Pox,5,,,,,,6,11,,,,,,0,6,6,,,5,17,28,
APR,Measles,23,,8,,,,0,31,22,10,2,,,34,0,3,,,0,3,68,
APR,Infections Hepatitis,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Mumps,,,4,0,,,14,18,,,,,,0,,,,,,0,18,
APR,Malaria,609,38,753,107,329,,527,2363,247,235,213,,104,799,949,244,670,115,302,2280,5442,
APR,Gonorrhea,,,,,,,,0,,,,,,0,,2,,,,2,2,
APR,Urinary Tract Infections,18,,7,2,26,,12,65,2,6,7,,3,18,16,35,,,2,53,136,
APR,Bilharzia,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,Intestinal Worms,72,8,160,14,86,,105,445,26,72,38,,15,151,146,179,109,24,89,547,1143,
APR,Malnutrition,,,,,,,,0,,,,,,0,,,15,,,15,15,
APR,Anaemia,3,,,,,,,3,,5,1,,,6,,8,35,,,43,52,
APR,Eye Infections,12,1,12,2,9,,,36,4,23,3,,3,33,15,15,22,10,10,72,141,
APR,Cataract,,,,,,,,0,,,,,,0,2,,,,,2,2,
APR,ear infectins,22,,12,6,6,,17,63,10,21,8,,3,42,39,50,48,4,9,150,255,
APR,Dis. Of circulatory systems,,,,,,,,0,,,,,,0,3,,,,,3,3,
APR,Dis of Respiratory systems,837,11,468,99,158,,297,1870,129,69,62,,37,297,402,266,376,50,126,1220,3387,
APR,Pneumonia,27,8,4,,0,,0,39,5,14,14,,6,39,70,14,136,9,3,232,310,
APR,Abortion,1,0,1,1,0,,0,3,0,0,0,,0,0,0,0,0,0,0,0,3,
APR,Dis. Of peuperium & child birth,0,0,0,0,0,,0,0,0,0,0,,0,0,2,0,0,0,2,4,4,
APR,Neoplasms,0,0,0,0,1,,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,
APR,Dis. Of blood & blood forming organs,0,0,0,0,0,,0,0,0,0,0,,0,0,3,0,9,0,0,12,12,
APR,mental Disorders,0,0,0,0,0,,0,0,0,0,0,,0,0,1,0,1,0,1,3,3,
APR,Dental disorders,2,0,7,7,1,,5,22,5,0,11,,0,16,5,5,0,0,8,18,56,
APR,Dis. Of the skin,52,0,60,4,37,,0,153,13,13,18,,24,68,83,108,97,35,39,362,583,
APR,Rheumatisim,46,4,59,13,24,,37,183,12,14,37,,17,80,85,13,141,23,30,292,555,
APR,Congential Anomalis,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
APR,Pyrexia of unknown origin,0,0,0,0,1,,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,
APR,Poisoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,
APR,Accidents ( fructures & Burns),25,,25,2,8,,7,67,5,0,11,,0,16,22,36,30,0,0,88,171,
APR,Typhoid ,0,5,0,0,0,0,0,5,0,2,7,,13,22,0,0,0,0,1,1,28,
APR,Amebiasis,0,0,0,0,0,,0,0,3,3,17,,0,23,0,0,0,0,0,0,23,
APR,Diabetes,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
APR,Epilepsy,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
APR,SYPHILIS,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
APR,HIV ,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
APR,Assault,18,0,0,0,0,,0,18,0,0,0,,0,0,4,0,0,0,0,4,22,
APR,Snake bite,0,0,0,0,4,,0,4,0,0,0,,0,0,0,0,0,0,0,0,4,
APR,Other bites,0,0,0,0,1,,0,1,0,0,1,,0,1,0,0,0,0,0,0,2,
APR,,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,,,,,,,,,0,,,,,,0,,,,,,0,0,
APR,All other diseases,157,7,97,2,45,,97,405,32,106,4,,0,142,109,348,4,18,5,484,1031,
APR,TOTAL NEW CASES,1972,85,,276,7611,,1153,11097,547,613,464,,226,1850,2094,1436,,300,637,4467,17414,
APR,Re-attendances(Re-visits),666,13,288,74,118,,273,1432,121,86,138,,39,384,396,157,281,25,106,965,2781,
APR,REFERRALS,0,0,,,,,,0,,0,0,,0,0,5,0,0,1,2,8,8,
APR,No. of first Attendances,1133,,815,156,461,,543,3108,,599,323,,133,1055,778,1132,976,13,333,3232,7395,
APR,Avrage dis. per Attendance,,,,,,,,,,,,,,,,,,,,,,
MAY,Diarhoheal Diseases,54,,30,,22,78,6,190,25,55,8,,9,5,102,158,36,53,12,,259,551
MAY,Tuberculosis,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Leprosy,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Whoopng Cough,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Meningitis,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Tetenus,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Poliomyelitis,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,chicken Pox,1,,1,,,,3,5,,,,,,,0,2,9,4,,,15,20
MAY,Measles,19,,,,,23,,42,4,,,,21,,25,,8,,,,8,75
MAY,Infections Hepatitis,,,,,,,,0,,,,,,,0,,2,,,,2,2
MAY,Mumps,1,,,,,12,,13,2,,,,2,,4,15,9,18,,,42,59
MAY,Malaria,986,,856,,360,,421,2623,330,243,156,,282,61,1072,1172,313,763,135,407,2790,6485
MAY,Gonorrhea,,,,,,,,0,1,,,,,1,2,,6,,,,6,8
MAY,Urinary Tract Infections,21,,12,,16,7,1,57,7,9,4,,7,1,28,17,30,11,,6,64,149
MAY,Bilharzia,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Intestinal Worms,56,,224,,146,114,92,632,33,63,31,,76,12,215,193,232,138,59,115,737,1584
MAY,Malnutrition,,,,,,,,0,,,,,,,0,,,3,,,3,3
MAY,Anaemia,,,,,,3,,3,,4,3,,,,7,,8,46,,,54,64
MAY,Eye Infections,24,,23,,8,48,2,105,8,25,1,,13,8,55,24,23,23,10,8,88,248
MAY,Cataract,,,,,,,3,3,,,,,,,0,1,,,,,1,4
MAY,ear infectins,16,,24,,9,31,3,83,10,20,10,,2,18,60,47,55,57,12,5,176,319
MAY,Dis. Of circulatory systems,3,,,,,,,3,,,,,3,1,4,,,,,,0,7
MAY,Dis of Respiratory systems,703,,469,,127,438,172,1909,136,63,39,,187,,425,593,379,355,97,205,1629,3963
MAY,Pneumonia,47,,1,,,113,,161,2,29,8,,,,39,24,25,139,15,,203,403
MAY,Abortion,2,,1,,,,,3,2,,1,,,,3,1,3,2,,,6,12
MAY,Dis. Of peuperium & child birth,,,,,,,,0,,,,,,,0,7,,9,,1,17,17
MAY,Neoplasms,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Dis. Of blood & blood forming organs,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,mental Disorders,2,,,,,,,2,,,,,,,0,5,3,,,,8,10
MAY,Dental disorders,5,,6,,3,9,10,33,18,,14,,35,,67,4,6,7,5,13,35,135
MAY,Dis. Of the skin,93,,97,,44,9,13,256,27,10,13,,36,9,95,124,120,154,48,54,500,851
MAY,Rheumatisim,40,,50,,31,67,36,224,,,,,33,,33,122,17,134,30,29,332,589
MAY,Congential Anomalis,,,,,1,,,1,,,,,,,0,,1,,,,1,2
MAY,Pyrexia of unknown origin,,,,,1,,,1,,,,,,,0,,,,,,0,1
MAY,Poisoning,,,,,,,,0,1,,1,,,,2,,,,,,0,2
MAY,Accidents ( fructures & Burns),16,,22,,8,,8,54,4,3,14,,,,21,,,,,,0,75
MAY,Typhoid ,,,,,,,,0,24,8,4,,22,,58,,,,,,0,58
MAY,Amebiasis,,,,,,,,0,,,15,,,,15,,,,,,0,15
MAY,Diabetes,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Epilepsy,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,SYPHILIS,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,HIV ,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,Assault,39,,,,,1,,40,2,,,,,,2,5,,,,,5,47
MAY,Snake bite,,,,,2,59,,61,,,,,,,0,,,,,,0,61
MAY,Other bites,,,,,,8,,8,,,,,,,0,,,,,2,2,10
MAY,,,,,,,,,0,,,,,,,0,,,,,,0,
MAY,,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,,,,,,,,,0,,,,,,,0,,,,,,0,0
MAY,All other diseases,194,,107,,29,140,77,547,29,95,4,,23,,151,55,441,4,29,3,532,1230
MAY,TOTAL NEW CASES,2377,,1920,,807,1862,848,7814,695,645,354,,442,148,2284,2634,1836,1947,506,875,7798,17896
MAY,Re-attendances(Re-visits),543,,381,,210,249,271,1654,81,98,46,,13,,238,522,226,336,43,161,1288,3180
MAY,REFERRALS,,,,,,12,4,16,,,1,,,,1,9,,9,1,1,20,37
MAY,No. of first Attendances,1445,,733,,447,1334,504,4463,,,240,,,104,344,991,1473,1055,17,402,3938,8745
MAY,Avrage dis. per Attendance,,,,,,,,,,,,,,,0,,,32,,2,34,34
JUN,Diarhoheal Diseases,25,0,11,0,9,59,1,105,29,53,7,0,8,97,68,15,77,10,0,170,372,
JUN,Tuberculosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,
JUN,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,
JUN,Whoopng Cough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
JUN,Meningitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
JUN,Tetenus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
JUN,Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
JUN,chicken Pox,2,0,2,0,0,7,1,12,0,0,0,0,0,0,7,3,0,0,,10,22,
JUN,Measles,7,0,1,0,0,23,0,31,0,0,3,0,0,3,0,3,1,0,2,6,40,
JUN,Infections Hepatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,
JUN,Mumps,1,0,0,0,0,15,4,20,0,0,0,0,0,0,30,8,32,0,9,79,99,
JUN,Malaria,842,0,1045,0,241,832,691,3651,261,209,157,0,56,683,1100,302,695,201,426,2724,7058,
JUN,Gonorrhea,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,5,0,0,8,9,
JUN,Urinary Tract Infections,13,0,12,0,11,2,14,52,1,5,9,0,6,21,18,34,9,0,3,64,137,
JUN,Bilharzia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
