Month,DISEASES,THARAKA DIST HOSP,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,SUNSHINE CLINIC,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,KAMWATHU,MUGAS CLINIC,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL,
JAN,Dis. Of circulatory systems,3,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,
JAN,Dis of Respiratory systems,416,256,72,60,351,0,288,1443,45,79,65,186,0,0,32,407,339,198,172,31,113,853,2703,
JAN,Pneumonia,14,0,6,,32,0,1,53,21,18,10,3,0,0,4,56,44,20,52,1,1,118,227,
JAN,Abortion,4,0,,,4,0,0,8,0,0,0,0,0,0,1,1,0,14,0,0,4,18,27,
JAN,Dis. Of peuperium & child birth,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,13,13,
JAN,Neoplasms,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAN,Dis. Of blood & blood forming organs,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
JAN,mental Disorders,0,0,,,4,0,0,4,1,0,0,0,0,0,0,1,1,8,2,0,0,11,16,
JAN,Dental disorders,6,5,9,1,15,0,12,48,9,0,21,7,0,0,4,41,4,13,4,1,16,38,127,
JAN,Dis. Of the skin,51,69,25,35,38,0,21,239,5,20,31,51,0,0,7,114,112,108,32,24,70,346,699,
JAN,Rheumatisim,39,24,20,44,37,0,54,218,50,33,53,62,0,0,15,213,62,3,37,9,40,151,582,
JAN,Congential Anomalis,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
JAN,Pyrexia of unknown origin,0,0,,,0,0,,0,1,0,0,,0,0,,1,0,,0,0,0,0,1,
JAN,Poisoning,0,0,,,0,0,,0,0,3,0,,0,0,,3,0,,0,0,0,0,3,
JAN,Accidents ( fructures & Burns),23,17,8,1,19,0,15,83,6,14,19,9,0,0,9,57,32,53,22,1,3,111,251,
JAN,Typhoid ,15,0,,,29,0,,44,,17,45,,0,0,,62,,,5,,2,7,113,
JAN,Amebiasis,,0,,,,0,,0,,0,44,,0,0,,44,,,29,,,29,73,
JAN,Diabetes,,,,,,0,,0,,0,,,0,0,,0,,,0,,,0,0,
JAN,Epilepsy,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,SYPHILIS,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,HIV ,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,Assault,45,,,,2,0,,47,1,,,,0,0,,1,23,,,,,23,71,
JAN,Snake bite,,,,,,0,,0,,,,,0,0,,0,,,,,2,2,2,
JAN,Other bites,13,,,6,,0,,19,2,,,,0,0,,2,,,1,,,1,22,
JAN,foreigh body,3,,,,4,0,,7,2,,,,0,0,,2,,,,,,0,9,
JAN,Bilharzia,,,,,2,0,,2,,,,,0,0,,0,,,,,,0,2,
JAN,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,All other diseases,251,41,9,17,151,0,101,570,43,79,16,102,0,0,17,257,89,287,10,35,1,422,1249,
JAN,TOTAL NEW CASES,1528,987,283,449,1569,0,1185,6001,546,575,661,1119,0,0,202,3103,1926,1222,997,243,763,5151,14255,
JAN,Re-attendances(Re-visits),54,4,86,,43,0,146,333,9,119,151,,0,0,,279,45,91,9,5,1,151,763,
JAN,REFERRALS,7,,,,7,0,0,14,0,0,0,,0,0,,0,5,0,0,0,3,8,22,
JAN,No. of first Attendances,1187,590,188,480,1097,0,652,4194,423,474,424,,0,0,157,1478,1146,1044,720,5,508,3423,9095,
JAN,Avrage dis. per Attendance,1,2,1,1,1,0,1,7.722422848,1,1,1,0,0,0,1,2,2,1,1,24,1,29.86042501,39.3489264,
FEB,Diarhoheal Diseases,18,17,15,7,0,0,3,60,21,0,12,23,0,18,6,80,73,47,35,0,2,157,297,
FEB,Tuberculosis,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Leprosy,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Whoopng Cough,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Meningitis,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Tetenus,,,,,0,0,,0,,0,1,,0,,,1,,,,0,,0,1,
FEB,Poliomyelitis,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,chicken Pox,2,4,2,,0,0,1,9,2,0,2,,0,,,4,,,17,0,1,18,31,
FEB,Measles,,,,,0,0,,0,,0,1,,0,,,1,,1,,0,,1,2,
FEB,Infections Hepatitis,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Mumps,1,11,,,0,0,,12,1,0,1,5,0,4,,11,1,,4,0,2,7,30,
FEB,Malaria,497,881,95,343,0,0,895,2711,139,0,390,672,0,553,134,1888,1035,382,593,0,460,2470,7069,
FEB,Gonorrhea,,,,,0,0,,0,,0,1,,0,18,3,22,2,8,1,0,,11,33,
FEB,Urinary Tract Infections,5,9,3,11,0,0,19,47,19,0,15,,0,99,3,136,16,32,12,0,5,65,248,
FEB,Bilharzia,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Intestinal Worms,24,252,16,154,0,0,208,654,53,0,40,265,0,,27,385,216,252,101,0,190,759,1798,
FEB,Malnutrition,,,,,0,0,,0,8,0,,,0,134,,142,,2,2,0,,4,146,
FEB,Anaemia,,,,,0,0,,0,7,0,,,0,,,7,,1,43,0,,44,51,
FEB,Eye Infections,13,21,1,5,0,0,8,48,29,0,1,9,0,4,,43,18,17,28,0,3,66,157,
FEB,Cataract,5,,,,0,0,,5,0,0,,,0,,,0,1,,73,0,,74,79,
FEB,ear infectins,19,12,6,14,0,0,21,72,21,0,10,21,0,11,3,66,39,55,47,0,3,144,282,
FEB,Dis. Of circulatory systems,,,,,0,0,,0,0,0,,,0,,,0,3,,,0,,3,3,
FEB,Dis of Respiratory systems,737,568,85,45,0,0,424,1859,156,0,131,322,0,23,63,695,348,343,174,0,149,1014,3568,
FEB,Pneumonia,8,6,3,111,0,0,15,143,17,0,23,14,0,176,18,248,58,96,123,0,,277,668,
FEB,Abortion,,,,,0,0,,0,,0,,,0,1,,1,1,6,2,0,2,11,12,
FEB,Dis. Of peuperium & child birth,,,,,0,0,,0,,0,,,0,,,0,1,,7,0,5,13,13,
FEB,Neoplasms,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Dis. Of blood & blood forming organs,,,,,0,0,,0,,0,,,0,,,0,1,,,0,,1,1,
FEB,mental Disorders,,,,,0,0,,0,1,0,,2,0,,,3,5,,,0,1,6,9,
FEB,Dental disorders,4,7,3,18,0,0,13,45,11,0,10,2,0,76,1,100,4,25,7,0,23,59,204,
FEB,Dis. Of the skin,62,81,8,49,0,0,33,233,23,0,30,50,0,9,23,135,106,163,82,0,100,451,819,
FEB,Rheumatisim,46,67,18,38,0,0,94,263,53,0,49,73,0,49,28,252,88,10,95,0,61,254,769,
FEB,Congential Anomalis,5,,,,0,0,,5,0,0,,,0,,,0,,,,0,,0,5,
FEB,Pyrexia of unknown origin,6,,,1,0,0,,7,2,0,,,0,,,2,,1,,0,,1,10,
FEB,Poisoning,1,,,,0,0,,1,1,0,,,0,,,1,1,,,0,,1,3,
FEB,Accidents ( fructures & Burns),8,19,9,2,0,0,17,55,8,0,15,10,0,,5,38,41,47,41,0,22,151,244,
FEB,Typhoid ,8,,,,0,0,,8,14,0,71,,0,,,85,,4,5,0,,9,102,
FEB,Amebiasis,,,,,0,0,,0,,0,42,,0,,,42,,,47,0,,47,89,
FEB,Diabetes,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Epilepsy,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,SYPHILIS,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,HIV ,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Assault,25,,,,0,0,2,27,5,0,,,0,,,5,13,,,0,6,19,51,
FEB,Snake bite,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,Other bites,7,,,,0,0,,7,1,0,,,0,,,1,,,,0,3,3,11,
FEB,Brucellosis,,,,,0,0,,0,48,0,,,0,6,,54,,,,0,,0,54,
FEB,,,,,,0,0,,0,,0,,,0,,,0,,,,0,,0,0,
FEB,,,,,,0,0,,,,0,,,0,,,,,,,0,,,,
FEB,All other diseases,217,132,3,57,0,0,221,630,639,0,20,75,0,21,16,771,131,306,18,0,4,459,1860,
FEB,TOTAL NEW CASES,1718,2091,282,925,0,0,1916,6932,92,0,865,1547,0,1207,333,4044,2202,1810,1549,0,1042,6603,17579,
FEB,Re-attendances(Re-visits),98,63,81,129,0,0,320,691,,0,211,,0,20,,231,162,175,51,0,36,424,1346,
FEB,REFERRALS,,,,,0,0,6,6,,0,1,1,0,,,2,7,,,0,,7,15,
FEB,No. of first Attendances,1522,1068,140,625,0,0,991,4346,486,0,529,,0,525,184,1724,1256,1478,1154,0,645,4533,10603,
FEB,Avrage dis. per Attendance,,,,,0,0,,1,,0,,,0,,,2,, ,1,0,,1,1,
MAR,Diarhoheal Diseases,25,,21,13,17,71,0,3,150,26,37,24,48,0,0,2,137,71,63,47,5,4,190,477
MAR,Tuberculosis,,,,,,,0,,0,,1,,,0,0,,1,,1,,,,1,2
MAR,Leprosy,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Whoopng Cough,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Meningitis,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Tetenus,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Poliomyelitis,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,chicken Pox,5,,,1,2,,0,3,11,,,3,7,0,0,,10,5,3,6,,,14,35
MAR,Measles,3,,,,,,0,,3,,,,,0,0,3,3,,,,,,0,6
MAR,Infections Hepatitis,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Mumps,3,,20,,,1,0,7,31,2,,2,,0,0,2,6,1,3,2,,1,7,44
MAR,Malaria,717,,641,91,338,215,0,447,2449,241,259,334,422,0,0,90,1346,742,349,482,149,324,2046,5841
MAR,Gonorrhea,1,,,,,,0,,1,0,6,1,1,0,0,2,10,,2,2,,,4,15
MAR,Urinary Tract Infections,8,,4,8,14,12,0,7,53,21,18,10,1,0,0,3,53,12,34,5,,,51,157
MAR,Bilharzia,,,,,,,0,,0,0,,0,,0,0,,0,,1,0,,,1,1
MAR,Intestinal Worms,45,,150,31,110,40,0,162,538,43,38,23,174,0,0,50,328,163,230,83,18,117,611,1477
MAR,Malnutrition,,,,,,2,0,,2,9,,0,,0,0,,9,,,7,,,7,18
MAR,Anaemia,,,,,,,0,,0,8,7,0,,0,0,,15,,5,25,,,30,45
MAR,Eye Infections,14,,21,2,20,12,0,27,96,13,8,3,11,0,0,4,39,19,30,27,7,5,88,223
MAR,Cataract,,,,,,,0,,0,0,,0,,0,0,,0,2,,31,,,33,33
MAR,ear infectins,32,,7,5,12,10,0,11,77,9,11,16,33,0,0,1,70,30,55,34,7,7,133,280
MAR,Dis. Of circulatory systems,3,,,,,3,0,,6,0,,0,,0,0,,0,2,,,,,2,8
MAR,Dis of Respiratory systems,712,,368,66,98,64,0,125,1433,123,547,98,202,0,0,43,1013,207,336,148,40,110,841,3287
MAR,Pneumonia,13,,5,,19,15,0,,52,0,14,20,2,0,0,11,47,41,124,78,17,,260,359
MAR,Abortion,1,,1,,,,0,,2,0,,1,,0,0,,1,,10,,,2,12,15
MAR,Dis. Of peuperium & child birth,,,,,1,,0,,1,0,,0,,0,0,,0,1,1,7,,,9,10
MAR,Neoplasms,,,,,,,0,,0,0,,0,,0,0,,0,,,,,,0,0
MAR,Dis. Of blood & blood forming organs,,,,,,,0,,0,0,,0,,0,0,,0,,,,,,0,0
MAR,mental Disorders,3,,1,,,,0,,4,0,,0,,0,0,,0,6,5,,,,11,15
MAR,Dental disorders,1,,5,5,,10,0,11,32,2,,18,3,0,0,4,27,5,17,5,8,7,42,101
MAR,Dis. Of the skin,51,,92,9,52,25,0,11,240,25,9,26,45,0,0,30,135,100,142,81,27,67,417,792
MAR,Rheumatisim,38,,45,11,17,1,0,54,166,51,,66,54,0,0,37,208,66,8,51,16,29,170,544
MAR,Congential Anomalis,,,,,,1,0,,1,0,12,,,0,0,,12,,,,,,0,13
MAR,Pyrexia of unknown origin,,,,,,,0,,0,5,,,,0,0,,5,1,,,,3,4,9
MAR,Poisoning,1,,,,,,0,,1,2,,1,,0,0,,3,4,,,,,4,8
MAR,Accidents ( fructures & Burns),9,,24,10,2,4,0,13,62,7,12,28,17,0,0,11,75,27,54,25,2,3,111,248
MAR,Typhoid ,10,,,,,,0,,10,5,26,74,,0,0,,105,,10,,,1,11,126
MAR,Amebiasis,,,,,,,0,,0,,,27,,0,0,,27,,,46,,,46,73
MAR,Diabetes,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Epilepsy,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,SYPHILIS,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,HIV ,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Assault,62,,,,,2,0,,64,8,,,,0,0,,8,22,,,,,22,94
MAR,Snake bite,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,Other bites,5,,,,,,0,,5,,,2,,0,0,,2,,,2,,1,3,10
MAR,Foreign body,6,,,,,,0,,6,,,,,0,0,,0,,,,,,0,6
MAR,,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0
MAR,All other diseases,275,,83,4,34,51,0,88,535,17,58,14,32,0,0,15,136,103,325,12,37,1,478,1149
MAR,TOTAL NEW CASES,2038,,1524,268,742,,0,1005,5577,456,574,790,1022,0,0,250,3092,1630,1810,1189,341,643,5613,14282
MAR,Re-attendances(Re-visits),226,,151,71,112,150,0,198,908,149,100,246,93,0,0,,588,275,196,91,20,75,657,2153
MAR,REFERRALS,,,,,,,0,,0,4,3,0,1,0,0,,8,9,,,3,,12,20
MAR,No. of first Attendances,1534,,724,144,386,323,0,596,3707,331,528,482,563,0,0,169,2073,941,1419,788,,405,3553,9333
MAR,Avrage dis. per Attendance,,,,,,,0,,,,,,,0,0,,,,,,,,,
APR,Diarhoheal Diseases,19,12,8,4,10,0,3,56,17,31,13,55,0,0,3,119,83,26,27,2,,,,
APR,Tuberculosis,,,,1,,0,,1,,,,,0,0,,0,,1,,,,,,
APR,Leprosy,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Whoopng Cough,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Meningitis,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Tetenus,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Poliomyelitis,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,chicken Pox,2,2,,,,0,6,10,,,2,11,0,0,4,17,3,,7,,,,,
APR,Measles,1,4,,,,0,,5,,,,,0,0,,0,,,,,,,,
APR,Infections Hepatitis,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Mumps,3,12,5,,6,0,2,28,,,2,9,0,0,4,15,1,,4,,,,,
APR,Malaria,568,421,86,209,259,0,278,1821,202,131,197,428,0,0,47,1005,890,302,486,102,262,,,
APR,Gonorrhea,1,,,,,0,,1,,,3,,0,0,3,6,,1,,,,,,
APR,Urinary Tract Infections,8,3,4,5,4,0,5,29,2,4,8,3,0,0,7,24,17,52,1,,3,,,
APR,Bilharzia,,,,,,0,,0,,,,,0,0,,0,,1,,,,,,
APR,Intestinal Worms,14,83,8,80,29,0,53,267,14,34,24,27,0,0,49,148,159,171,76,19,105,,,
APR,Malnutrition,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Anaemia,2,,,,4,0,,6,,9,1,,0,0,,10,2,1,45,,,,,
APR,Eye Infections,9,18,2,9,11,0,6,55,9,13,5,8,0,0,5,40,15,19,13,7,7,,,
APR,Cataract,,,,,,0,,0,,,,,0,0,,0,1,,36,,,,,
APR,ear infectins,18,8,7,13,10,0,23,79,7,17,12,24,0,0,5,65,44,43,33,4,4,,,
APR,Dis. Of circulatory systems,13,238,,,5,0,,256,,,,,0,0,,0,3,2,,,,,,
APR,Dis of Respiratory systems,619,1,76,74,225,0,139,1134,171,60,42,186,0,0,34,493,330,319,155,24,141,,,
APR,Pneumonia,2,,3,,25,0,11,41,2,15,17,4,0,0,3,41,95,82,134,2,,,,
APR,Abortion,,,,,2,0,,2,,,,,0,0,,0,,2,,,1,,,
APR,Dis. Of peuperium & child birth,,,,2,,0,,2,,,,,0,0,,0,3,,5,,1,,,
APR,Neoplasms,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Dis. Of blood & blood forming organs,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,mental Disorders,1,4,,2,,0,,7,,,,2,0,0,,2,7,10,1,,,,,
APR,Dental disorders,2,12,2,52,7,0,5,80,5,,5,6,0,0,3,19,8,14,,3,,,,
APR,Dis. Of the skin,57,51,12,,30,0,12,162,7,10,48,30,0,0,39,134,69,93,71,11,,,,
APR,Rheumatisim,31,47,8,,14,0,19,119,3,19,32,38,0,0,18,110,53,19,51,9,,,,
APR,Congential Anomalis,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Pyrexia of unknown origin,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Poisoning,,,,,,0,,0,,1,,,0,0,,1,,,,,,,,
APR,Accidents ( fructures & Burns),15,18,13,1,5,0,10,62,3,,20,11,0,0,4,38,27,42,19,1,11,,,
APR,Typhoid ,2,,,,,0,,2,,16,47,2,0,0,,65,,17,,,,,,
APR,Amebiasis,,,,,,0,,0,,,40,,0,0,,40,,,58,,,,,
APR,Diabetes,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Epilepsy,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,SYPHILIS,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,HIV ,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,Assault,49,,,,3,0,,52,,,,,0,0,,0,9,,,,,,,
APR,Snake bite,17,,,,,0,,17,,,,1,0,0,,1,,,,,,,,
APR,Other bites,,,,,,0,,0,,,4,,0,0,,4,,,2,,1,,,
APR,Brucellosis.,,,,,,0,,0,,,4,,0,0,,4,,,,,,,,
APR,,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,,,,,,,0,,0,,,,,0,0,,0,,,,,,,,
APR,All other diseases,201,54,4,17,5,0,101,382,47,42,6,52,0,0,11,158,99,204,22,20,6,,,
APR,TOTAL NEW CASES,1654,994,248,512,647,0,671,4726,489,409,532,897,0,0,238,2565,1949,1421,1286,180,609,,,
APR,Re-attendances(Re-visits),306,154,59,87,161,0,166,933,78,53,162,,0,0,9,302,300,134,90,9,68,,,
APR,REFERRALS,,,,,,0,,0,2,,,,0,0,,2,3,,2,,2,,,
APR,No. of first Attendances,1348,424,122,398,474,0,260,3026,409,376,309,,0,0,108,1202,783,1089,678,2,346,,,
APR,Avrage dis. per Attendance,,,,,,0,,,,,,,0,0,,,,,,,,,,
MAY,Diarhoheal Diseases,30,13,13,4,19,0,2,81,20,42,8,56,0,0,2,128,70,25,33,3,2,133,342,
MAY,Tuberculosis,,,,,,0,,0,,,,,0,0,,0,,1,,,,1,1,
MAY,Leprosy,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Whoopng Cough,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Meningitis,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Tetenus,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Poliomyelitis,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,chicken Pox,2,2,1,,,0,9,14,,,1,6,0,0,,7,,,3,,1,4,25,
MAY,Measles,1,,,,,0,,1,,,,,0,0,,0,,,,2,,2,3,
MAY,Infections Hepatitis,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Mumps,3,4,3,,12,0,3,25,1,,5,3,0,0,15,24,3,2,4,,,9,58,
MAY,Malaria,779,570,91,305,282,0,474,2501,132,148,283,602,0,0,107,1272,818,473,488,174,503,2456,6229,
MAY,Gonorrhea,,,,,,0,,0,,,2,,0,0,,2,,4,4,,,8,10,
MAY,Urinary Tract Infections,15,6,8,9,,0,15,53,15,8,13,3,0,0,2,41,10,38,7,,10,65,159,
MAY,Bilharzia,,,,,,0,,0,,,,,0,0,,0,,1,,,,1,1,
MAY,Intestinal Worms,16,169,31,121,49,0,153,539,52,32,28,248,0,0,52,412,187,255,104,24,181,751,1702,
MAY,Malnutrition,,,,,,0,,0,3,,1,,0,0,,4,1,2,,,,3,7,
MAY,Anaemia,,,,,,0,,0,1,11,2,,0,0,,14,,4,22,,,26,40,
MAY,Eye Infections,10,19,,6,6,0,5,46,22,7,8,14,0,0,6,57,22,33,21,7,7,90,193,
MAY,Cataract,,,,,2,0,,2,,,,,0,0,,0,2,,,,,2,4,
MAY,ear infectins,34,7,5,1,,0,30,77,15,12,13,39,0,0,6,85,56,34,4,6,9,109,271,
MAY,Dis. Of circulatory systems,8,,,,,0,,8,,,,,0,0,,0,7,,,,,7,15,
MAY,Dis of Respiratory systems,464,311,66,119,,0,185,1145,102,42,72,254,0,0,47,517,199,348,225,34,253,1059,2721,
MAY,Pneumonia,67,2,,6,18,0,23,116,16,11,13,,0,0,3,43,94,124,104,3,1,326,485,
MAY,Abortion,4,,,1,,0,,5,,,1,,0,0,,1,1,6,,,,7,13,
MAY,Dis. Of peuperium & child birth,1,,,,,0,,1,2,,1,,0,0,,3,,,3,,,3,7,
MAY,Neoplasms,1,,,,,0,,1,,,,,0,0,,0,1,,,,,1,2,
MAY,Dis. Of blood & blood forming organs,,,,,,0,,0,,,1,,0,0,,1,3,,,,,3,4,
MAY,mental Disorders,4,1,,1,,0,,6,4,,,2,0,0,,6,1,4,,,,5,17,
MAY,Dental disorders,5,6,5,,19,0,13,48,12,,2,6,0,0,4,24,1,11,4,7,16,39,111,
MAY,Dis. Of the skin,52,77,9,45,9,0,9,201,28,18,30,52,0,0,17,145,85,128,70,22,84,389,735,
MAY,Rheumatisim,15,31,11,13,,0,22,92,52,19,48,55,0,0,17,191,47,13,52,19,56,187,470,
MAY,Congential Anomalis,,,,,,0,,0,,,1,,0,0,,1,,,,,,0,1,
MAY,Pyrexia of unknown origin,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Poisoning,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Accidents ( fructures & Burns),18,22,10,,2,0,8,60,4,9,8,13,0,0,2,36,34,39,32,2,15,122,218,
MAY,Typhoid ,20,,,,9,0,,29,4,24,83,3,0,0,4,118,,11,2,,,13,160,
MAY,Amebiasis,,,,,,0,,0,,,47,,0,0,,47,,,43,,,43,90,
MAY,Diabetes,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Epilepsy,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,SYPHILIS,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,HIV ,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,Assault,51,,,,8,0,,59,2,,,,0,0,,2,13,,,,,13,74,
MAY,Snake bite,13,,,,,0,,13,1,,,,0,0,3,4,,,,,1,1,18,
MAY,Other bites,,,,,,0,,0,,,3,,0,0,,3,,,4,,,4,7,
MAY,,,,,,,0,,,,,,,0,0,,,,,,,,,,
MAY,,,,,,,0,,,,,,,0,0,,,,,,,,,,
MAY,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,,
MAY,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,,,,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
MAY,All other diseases,136,75,4,22,152,0,147,536,44,16,17,52,0,0,,129,148,296,27,35,2,508,1173,
MAY,TOTAL NEW CASES,1750,1312,268,610,455,0,1101,5496,536,407,693,1408,0,0,279,3323,1803,1852,1280,336,1145,6416,15235,
MAY,Re-attendances(Re-visits),441,192,71,100,245,0,246,1295,69,63,147,194,0,0,50,523,306,194,140,14,125,779,2597,
