DISEASES,THARAKA DIST HOSP,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,SUNSHINE CLINIC,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,KAMWATHU,MUGAS CLINIC,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
Assault,505,0,0,0,13,0,10,528,250,20,0,0,0,0,1,271,57,94,58,45,14,268,1067
Snake bite,52,0,0,0,0,0,0,52,24,1,2,5,0,0,9,41,20,0,2,3,4,29,122
Other bites,71,0,0,6,4,0,1,82,54,1,13,16,1,0,2,87,45,9,8,6,3,71,240
,22,0,0,0,4,0,0,26,18,51,4,1,12,1,7,94,3,59,12,0,0,74,194
,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All other diseases,1812,772,462,268,806,0,857,4977,2364,981,204,313,225,26,267,4380,889,2243,1270,1083,325,5810,15167
TOTAL NEW CASES,16585,10487,7078,3316,6778,0,7327,51571,25714,4136,5005,6635,4208,708,5311,51717,17124,19201,15369,10283,7574,69551,172839
Re-attendances(Re-visits),3557,1409,1147,565,2123,0,2634,11435,5957,768,1317,1783,807,222,341,11195,3176,2917,2924,1282,815,11114,33744
REFERRALS,1757,1312,1315,325,627,0,470,5806,5582,544,418,707,1469,36,1,8757,3370,1840,1944,1292,353,8799,23362
No. of first Attendances,13866,4537,3485,2841,2934,0,2855,30518,16588,3945,3479,3102,2189,409,3031,32743,10649,11947,11066,6201,4519,44382,107643
Avrage dis. per Attendance,1.231265109,1.661616162,1.032846715,0.935416667,1.376315789,0,1.484962406,7.722422848,5.124039869,0,1.149565217,1,3,2,1.286624204,13.56022929,5.617128463,6.342266583,2.44974572,0,2.499017682,16.90815845,38.19081059
