Month,DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
April,Eye Infections,2,4,23,3,7,14,53,11,8,2,1,22,21,28,7,0,2,58,133
April,Cataract,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,11,0,11,13
April,ear infectins,11,1,11,3,9,38,73,9,8,5,14,36,21,26,17,0,9,73,182
April,Dis. Of circulatory systems,2,0,1,0,0,0,3,0,0,0,0,0,2,0,0,8,0,10,13
April,Dis of Respiratory systems,481,33,292,76,52,374,1308,159,82,37,35,313,356,383,299,56,414,1508,3129
April,Pneumonia,20,11,1,,0,0,32,1,7,6,7,21,9,14,14,0,0,37,90
April,Abortion,2,0,0,,0,0,2,1,0,0,2,3,1,1,0,0,0,2,7
April,Dis. Of peuperium & child birth,2,0,0,,,,2,1,1,,,2,1,,10,0,30,41,45
April,Neoplasms,0,0,0,,,,0,0,0,,,0,0,,0,0,0,0,0
April,Dis. Of blood & blood forming organs,0,0,5,,,,5,0,0,,,0,0,,0,0,0,0,5
April,mental Disorders,0,0,9,,,,9,0,0,,,0,3,2,0,0,0,5,14
April,Dental disorders,1,0,39,10,2,16,68,10,6,12,9,37,2,12,3,5,17,39,144
April,Dis. Of the skin,67,13,80,18,48,16,242,38,7,15,17,77,58,89,66,25,34,272,591
April,Rheumatisim,23,8,,10,63,59,163,10,45,20,12,87,35,9,57,9,21,131,381
April,Congential Anomalis,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
April,Pyrexia of unknown origin,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
April,Poisoning,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0
April,Accidents ( fructures & Burns),29,8,30,7,8,7,89,4,4,6,,14,26,46,26,1,15,114,217
April,Typhoid ,,,,,,,0,,,,,0,,,,,,0,0
April,Amebiasis,,,,,,,0,,,,,0,,,,,,0,0
April,Diabetes,,,,,,,0,,,,,0,,,,,,0,0
April,Epilepsy,,,,,,,0,,,,,0,,,,,,0,0
April,SYPHILIS,,,,,,,0,,,,,0,,,,,,0,0
April,HIV ,,,,,,,0,,,,,0,,,,,,0,0
April,Assault,,,,,,,0,,,,,0,,,,,,0,0
April,Snake bite,,,,,,,0,,,,,0,,,,,,0,0
April,Other bites,,,,,,,0,,,,,0,,,,,,0,0
April,,,,,,,,0,,,,,0,,,,,,0,0
April,,,,,,,,0,,,,,0,,,,,,0,0
April,,,,,,,,0,,,,,0,,,,,,0,0
April,All other diseases,139,35,93,,49,50,366,21,76,49,7,153,36,258,11,33,6,344,863
April,TOTAL NEW CASES,1587,198,1245,232,412,1266,4940,626,425,369,218,1638,1286,1323,1145,346,1300,5400,11978
April,Re-attendances(Re-visits),172,43,206,85,168,279,953,45,79,119,16,259,218,208,100,45,222,793,2005
April,REFERRALS,0,0,0,2,0,0,2,6,0,2,0,8,0,0,1,0,2,3,13
April,No. of first Attendances,944,133,487,71,243,527,2405,,335,217,161,713,678,1094,929,131,471,3303,6421
April,Avrage dis. per Attendance,1,1,2,1,1,2,,14,1,1,1,,1,1,1,2,2,,
May,Diarhoheal Diseases,20,,25,,24,8,77,36,16,11,6,69,50,21,30,27,14,142,288
May,Tuberculosis,,,,,,,0,,2,,,2,,,,,,0,2
May,Leprosy,,,,,,,0,,,,,0,,,,,,0,0
May,Whoopng Cough,,,,,,,0,,,,,0,,,,,,0,0
May,Meningitis,,,,,,,0,,,,,0,,,,,,0,0
May,Tetenus,,,,,,,0,,,1,,1,,,,,,0,1
May,Poliomyelitis,,,,,,,0,,,,,0,,,,,,0,0
May,chicken Pox,1,,3,,,2,6,,,1,,1,1,,,,,1,8
May,Measles,2,,1,,,,3,2,,,,2,,,,,,0,5
May,Infections Hepatitis,0,,,,,,0,,,,,0,1,2,,,,3,3
May,Mumps,1,,,,,1,2,,,,,0,1,,2,2,,5,7
May,Malaria,842,105,1159,,176,862,3144,330,92,171,89,682,871,373,756,250,622,2872,6698
May,Gonorrhea,2,,,,,,2,2,3,,,5,,7,,,,7,14
May,Urinary Tract Infections,10,2,8,,8,8,36,6,,5,4,15,7,64,2,1,3,77,128
May,Bilharzia,0,,,,,,0,,,,,0,,1,,1,,2,2
May,Intestinal Worms,74,35,289,,70,157,625,48,59,69,24,200,124,200,146,63,194,727,1552
May,Malnutrition,0,,,,,,0,,,,,0,1,1,,,,2,2
May,Anaemia,2,1,1,,1,,5,,1,1,,2,,6,,,,6,13
May,Eye Infections,8,1,19,,5,30,63,26,4,3,,33,25,27,34,9,5,100,196
May,Cataract,0,,,,,,0,,,,,0,,,,,,0,0
May,ear infectins,18,3,23,,14,42,100,11,4,3,10,28,40,72,40,13,15,180,308
May,Dis. Of circulatory systems,1,,,,,,1,,,,,0,1,,,,,1,2
May,Dis of Respiratory systems,725,56,621,,76,641,2119,161,81,37,27,306,422,435,487,94,321,1759,4184
May,Pneumonia,25,17,7,,2,,51,2,,5,,7,32,19,33,16,,100,158
May,Abortion,3,1,2,,,,6,1,,,,1,,1,1,,2,4,11
May,Dis. Of peuperium & child birth,2,,1,,,,3,2,1,,,3,,3,9,,,12,18
May,Neoplasms,,,,,,,0,,,,,0,,,,,,0,0
May,Dis. Of blood & blood forming organs,,,,,,,0,,,,,0,1,,,,1,2,2
May,mental Disorders,,,4,,,,4,,,,,0,5,,,,,5,9
May,Dental disorders,4,,15,,4,19,42,16,,11,8,35,7,5,4,47,9,72,149
May,Dis. Of the skin,72,9,85,,50,24,240,59,30,25,15,129,104,163,77,31,103,478,847
May,Rheumatisim,8,7,125,,38,94,272,23,26,37,18,104,38,3,60,,25,126,502
May,Congential Anomalis,,0,,,,,0,0,,,,0,1,,,,,1,1
May,Pyrexia of unknown origin,,,,,2,,2,1,,,,1,,,,1,,1,4
May,Poisoning,,,,,,,0,,,,,0,,,,,,0,0
May,Accidents ( fructures & Burns),25,,29,,8,14,76,13,5,6,8,32,50,53,30,,17,150,258
May,Typhoid ,,,,,,,0,,,,,0,,,,,,0,0
May,Amebiasis,,,,,,,0,,,,,0,,,,,,0,0
May,Diabetes,,,,,,,0,,,,,0,,,,,,0,0
May,Epilepsy,,,,,,,0,,,,,0,,,,,,0,0
May,SYPHILIS,,,,,,,0,,,,,0,,,,,,0,0
May,HIV ,,,,,,,0,,,,,0,,,,,,0,0
May,Assault,,,,,,,0,,,,,0,,,,,,0,0
May,Snake bite,,,,,,,0,,,,,0,,,,,,0,0
May,Other bites,,,,,,,0,,,,,0,,,,,,0,0
May,,,,,,,,0,,,,,0,,,,,,0,
May,,,,,,,,0,,,,,0,,,,,,0,0
May,,,,,,,,0,,,,,0,,,,,,0,0
May,All other diseases,201,30,161,,56,172,620,38,87,77,4,206,65,338,6,40,7,456,1282
May,TOTAL NEW CASES,2046,267,2578,0,534,2074,7499,777,411,463,213,1864,1847,1794,1717,595,1338,7291,16654
May,Re-attendances(Re-visits),383,97,441,,216,597,1734,79,72,106,42,299,384,192,246,76,277,1175,3208
May,REFERRALS,3,,8,,3,,14,3,,5,6,14,3,,,3,2,8,36
May,No. of first Attendances,1160,,843,,348,883,3234,,219,307,170,696,842,1436,1013,191,546,4028,7958
May,Avrage dis. per Attendance,1,3,2,,,1,,10,1,1,1,,2,1,1,2,2,,
June,Diarhoheal Diseases,19,1,11,7,7,14,59,28,19,10,7,64,42,18,29,11,18,118,241
June,Tuberculosis,,,,,,,0,,,,,0,,3,,,,3,3
June,Leprosy,,,,,,,0,,,,,0,,,,,,0,0
June,Whoopng Cough,,,,,,,0,,,,,0,,,,,,0,0
June,Meningitis,,,,,,,0,,,,,0,,,,,,0,0
June,Tetenus,,,,,,,0,,,,,0,,,,,,0,0
June,Poliomyelitis,,,,,,,0,,,,,0,,,,,,0,0
June,chicken Pox,,,3,,,4,7,,,,,0,1,,,,,1,8
June,Measles,,,1,,,,1,1,,,,1,0,,,,,0,2
June,Infections Hepatitis,,,,,,,0,0,,,,0,0,,,,,0,0
June,Mumps,4,,9,,,,13,1,,,,1,1,,1,,,2,16
June,Malaria,687,76,1172,86,218,811,3050,405,141,194,100,840,736,371,751,310,626,2794,6684
June,Gonorrhea,2,0,0,0,0,4,6,0,0,0,2,2,2,3,0,0,0,5,13
June,Urinary Tract Infections,4,1,5,3,14,6,33,3,3,8,5,19,5,44,3,0,0,52,104
June,Bilharzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,Intestinal Worms,69,24,284,20,80,197,674,72,92,50,25,239,92,206,169,102,191,760,1673
June,Malnutrition,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
June,Anaemia,0,0,0,0,1,0,1,0,2,1,2,5,3,6,0,0,1,10,16
June,Eye Infections,24,2,12,2,8,27,75,18,9,2,2,31,24,0,34,34,6,98,204
June,Cataract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
June,ear infectins,21,6,26,3,7,39,102,13,7,4,4,28,33,64,31,21,13,162,292
June,Dis. Of circulatory systems,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,6
June,Dis of Respiratory systems,680,66,542,77,64,526,1955,231,54,33,47,365,353,378,457,120,340,1648,3968
June,Pneumonia,26,5,8,2,3,,44,5,2,5,,12,34,21,13,19,0,87,143
June,Abortion,2,1,1,,,,4,0,0,0,,0,0,1,1,0,0,2,6
June,Dis. Of peuperium & child birth,1,,1,,,,2,0,0,1,,1,3,0,13,0,1,17,20
June,Neoplasms,0,,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0
June,Dis. Of blood & blood forming organs,0,,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0
June,mental Disorders,0,,8,,,,8,1,0,0,,1,2,0,1,0,0,3,12
June,Dental disorders,1,3,10,4,,16,34,7,0,16,4,27,5,10,27,11,14,67,128
June,Dis. Of the skin,68,8,62,8,56,11,213,58,6,23,19,106,66,151,78,53,58,406,725
June,Rheumatisim,9,3,123,13,15,145,308,42,15,35,19,111,44,9,88,15,32,188,607
June,Congential Anomalis,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,Pyrexia of unknown origin,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,Poisoning,0,0,2,,,0,2,0,0,0,0,0,0,0,0,0,0,0,2
June,Accidents ( fructures & Burns),23,3,14,9,4,26,79,7,8,16,6,37,38,38,21,5,27,129,245
June,Typhoid ,,,,,,,0,,,,,0,,,,,,0,0
June,Amebiasis,,,,,,,0,,,,,0,,,,,,0,0
June,Diabetes,,,,,,,0,,,,,0,,,,,,0,0
June,Epilepsy,,,,,,,0,,,,,0,,,,,,0,0
June,SYPHILIS,,,,,,,0,,,,,0,,,,,,0,0
June,HIV ,,,,,,,0,,,,,0,,,,,,0,0
June,Assault,,,,,,,0,,,,,0,,,,,,0,0
June,Snake bite,,,,,,,0,,,,,0,,,,,,0,0
June,Other bites,,,,,,,0,,,,,0,,,,,,0,0
June,,,,,,,,0,,,,,0,,,,,,0,0
June,,,,,,,,0,,,,,0,,,,,,0,0
June,,,,,,,,0,,,,,0,,,,,,0,0
June,All other diseases,151,29,148,2,49,189,568,68,115,66,12,261,36,389,8,94,9,536,1365
June,TOTAL NEW CASES,1795,228,2442,236,526,2015,7242,960,473,464,255,2152,1522,1712,1725,795,1338,7092,16486
June,Re-attendances(Re-visits),191,115,429,88,184,533,1540,76,122,80,36,314,405,296,301,65,76,1143,2997
June,REFERRALS,0,0,4,0,0,3,7,0,0,1,0,1,6,0,0,2,0,8,16
June,No. of first Attendances,907,,928,125,371,859,3190,,397,322,193,912,814,1333,965,22,,3134,7236
June,Avrage dis. per Attendance,2,2,2,1,1,1,,13,1,1,1,,1,1,1,9,18,,
July,Diarhoheal Diseases,26,1,16,10,45,25,123,50,52,24,5,131,60,32,21,6,31,150,404
July,Tuberculosis,1,,,,,,1,,,,,0,,,,,,0,1
July,Leprosy,,,,,,,0,,,,,0,,,,,,0,0
July,Whoopng Cough,,,,,,,0,,,,,0,,,,,,0,0
July,Meningitis,,,,,,,0,,,,,0,,,,,,0,0
July,Tetenus,,,,,,,0,,,,,0,,,,,,0,0
July,Poliomyelitis,,,,,,,0,,,,,0,,,,,,0,0
July,chicken Pox,5,,15,5,,5,30,1,,1,,2,8,,,,,8,40
July,Measles,7,,,,,,7,,,,,0,,2,,,,2,9
July,Infections Hepatitis,1,,,,,,1,1,,,,1,,1,,,,1,3
