DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
Poisoning,59,11,82,63,67,72,118,462,69,27,146,5,70,363,43,125,81,31,141,421,1246
Accidents ( fructures & Burns),846,84,820,196,603,122,310,2917,150,187,328,21,99,932,1403,1356,1062,330,707,4858,8707
Typhoid ,503,109,751,121,314,362,957,3104,159,341,353,176,116,1293,963,110,1012,214,403,2702,7099
Amebiasis,5,0,0,0,2,0,0,7,0,0,36,0,2,38,0,5,0,0,1,6,51
Diabetes,3,0,0,1,6,0,0,10,0,0,0,0,0,0,5,2,0,0,0,7,17
Epilepsy,1,0,0,0,0,2,0,3,1,0,4,0,1,6,1,4,0,0,0,5,14
SYPHILIS,227,49,300,89,96,114,209,1074,39,83,153,9,22,330,359,440,289,15,155,1258,2662
HIV ,84,31,0,0,26,170,0,0,36,62,285,0,70,226,0,0,19,0,6,164,390
Assault,0,0,0,0,0,0,0,0,16,3,207,0,0,8,0,0,164,0,0,0,8
Snake bite,0,0,0,0,0,0,0,29,1,0,7,0,0,1,0,0,0,0,0,2,32
Other bites,29,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,2,0,8
,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,180,551
,358,0,,0,,17,,,,,,0,,,,,,,,,
All other diseases,21,0,0,0,6,63,0,90,0,0,4,0,0,4,0,0,0,0,2,2,96
TOTAL NEW CASES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2,0,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Re-attendances(Re-visits),10,0,0,0,5,6,0,21,0,2,2,0,0,4,0,0,1,3,2,6,28
REFERRALS,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,1,4
No. of first Attendances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avrage dis. per Attendance,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1204,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
